Visitor,Home,Week,Day,Date,Time,Bye Week
Colts,Falcons,11,Sun,Nov 22nd,1:00 PM,
Jets,Texans,11,Sun,Nov 22nd,1:00 PM,
Buccaneers,Eagles,11,Sun,Nov 22nd,1:00 PM,
Broncos,Bears,11,Sun,Nov 22nd,1:00 PM,
Packers,Vikings,11,Sun,Nov 22nd,1:00 PM,
Rams,Ravens,11,Sun,Nov 22nd,1:00 PM,
Cowboys,Dolphins,11,Sun,Nov 22nd,1:00 PM,
Redskins,Panthers,11,Sun,Nov 22nd,1:00 PM,
Bengals,Cardinals,11,Sun,Nov 22nd,4:05 PM,
49ers,Seahawks,11,Sun,Nov 22nd,4:25 PM,
Chiefs,Chargers,11,Sun,Nov 22nd,8:30 PM,
Bills,Patriots,11,Mon,Nov 23rd,8:30 PM,
Eagles,Lions,12,Thu,26-Nov,12:30 PM, 
Panthers,Cowboys,12,Thu,26-Nov,4:30 PM,
Bears,Packers,12,Thu,26-Nov,8:30 PM,
Saints,Texans,12,Sun,29-Nov,1:00 PM,
Rams,Bengals,12,Sun,29-Nov,1:00 PM,
Vikings,Falcons,12,Sun,29-Nov,1:00 PM,
Giants,Redskins,12,Sun,29-Nov,1:00 PM,
Buccaneers,Colts,12,Sun,29-Nov,1:00 PM,
Bills,Chiefs,12,Sun,29-Nov,1:00 PM,
Raiders,Titans,12,Sun,29-Nov,1:00 PM,
Chargers,Jaguars,12,Sun,29-Nov,1:00 PM,
Dolphins,Jets,12,Sun,29-Nov,1:00 PM,
Cardinals,49ers,12,Sun,29-Nov,4:05 PM,
Steelers,Seahawks,12,Sun,29-Nov,4:25 PM,
Patriots,Broncos,12,Sun,29-Nov,8:30 PM,
Ravens,Browns,12,Mon,30-Nov,8:30 PM,
Packers,Lions,13,Thu,Dec 03rd,8:25 PM,
Jets,Giants,13,Sun,6-Dec,1:00 PM,
Cardinals,Rams,13,Sun,6-Dec,1:00 PM,
Falcons,Buccaneers,13,Sun,6-Dec,1:00 PM,
Panthers,Saints,13,Sun,6-Dec,1:00 PM,
Seahawks,Vikings,13,Sun,6-Dec,1:00 PM,
Texans,Bills,13,Sun,6-Dec,1:00 PM,
Ravens,Dolphins,13,Sun,6-Dec,1:00 PM,
Bengals,Browns,13,Sun,6-Dec,1:00 PM,
Jaguars,Titans,13,Sun,6-Dec,1:00 PM,
49ers,Bears,13,Sun,6-Dec,1:00 PM,
Broncos,Chargers,13,Sun,6-Dec,4:05 PM,
Chiefs,Raiders,13,Sun,6-Dec,4:05 PM,
Eagles,Patriots,13,Sun,6-Dec,4:25 PM,
Colts,Steelers,13,Sun,6-Dec,8:30 PM,
Cowboys,Redskins,13,Mon,7-Dec,8:30 PM,
Vikings,Cardinals,14,Thu,10-Dec,8:25 PM,
Bills,Eagles,14,Sun,13-Dec,1:00 PM,
49ers,Browns,14,Sun,13-Dec,1:00 PM,
Lions,Rams,14,Sun,13-Dec,1:00 PM,
Saints,Buccaneers,14,Sun,13-Dec,1:00 PM,
Titans,Jets,14,Sun,13-Dec,1:00 PM,
Steelers,Bengals,14,Sun,13-Dec,1:00 PM,
Patriots,Texans,14,Sun,13-Dec,1:00 PM,
Colts,Jaguars,14,Sun,13-Dec,1:00 PM,
Chargers,Chiefs,14,Sun,13-Dec,1:00 PM,
Redskins,Bears,14,Sun,13-Dec,1:00 PM,
Falcons,Panthers,14,Sun,13-Dec,1:00 PM,
Raiders,Broncos,14,Sun,13-Dec,4:05 PM,
Cowboys,Packers,14,Sun,13-Dec,4:25 PM,
Seahawks,Ravens,14,Sun,13-Dec,8:30 PM,
Giants,Dolphins,14,Mon,14-Dec,8:30 PM,
Buccaneers,Rams,15,Thu,17-Dec,8:25 PM,
Jets,Cowboys,15,Sat,19-Dec,8:25 PM,
Bears,Vikings,15,Sun,20-Dec,1:00 PM,
Falcons,Jaguars,15,Sun,20-Dec,1:00 PM,
Texans,Colts,15,Sun,20-Dec,1:00 PM,
Cardinals,Eagles,15,Sun,20-Dec,1:00 PM,
Panthers,Giants,15,Sun,20-Dec,1:00 PM,
Titans,Patriots,15,Sun,20-Dec,1:00 PM,
Bills,Redskins,15,Sun,20-Dec,1:00 PM,
Chiefs,Ravens,15,Sun,20-Dec,1:00 PM,
Browns,Seahawks,15,Sun,20-Dec,4:05 PM,
Packers,Raiders,15,Sun,20-Dec,4:05 PM,
Broncos,Steelers,15,Sun,20-Dec,4:25 PM,
Dolphins,Chargers,15,Sun,20-Dec,4:25 PM,
Bengals,49ers,15,Sun,20-Dec,8:30 PM,
Lions,Saints,15,Mon,21-Dec,8:30 PM,
Chargers,Raiders,16,Thu,24-Dec,8:25 PM,
Redskins,Eagles,16,Sat,26-Dec,8:25 PM,
Patriots,Jets,16,Sun,27-Dec,1:00 PM,
Texans,Titans,16,Sun,27-Dec,1:00 PM,
Browns,Chiefs,16,Sun,27-Dec,1:00 PM,
Colts,Dolphins,16,Sun,27-Dec,1:00 PM,
Jaguars,Saints,16,Sun,27-Dec,1:00 PM,
49ers,Lions,16,Sun,27-Dec,1:00 PM,
Cowboys,Bills,16,Sun,27-Dec,1:00 PM,
Bears,Buccaneers,16,Sun,27-Dec,1:00 PM,
Panthers,Falcons,16,Sun,27-Dec,1:00 PM,
Giants,Vikings,16,Sun,27-Dec,1:00 PM,
Rams,Seahawks,16,Sun,27-Dec,4:25 PM,
Packers,Cardinals,16,Sun,27-Dec,4:25 PM,
Steelers,Ravens,16,Sun,27-Dec,8:30 PM,
Bengals,Broncos,16,Mon,28-Dec,8:30 PM,
Jets,Bills,17,Sun,Jan 03rd,1:00 PM,
Patriots,Dolphins,17,Sun,Jan 03rd,1:00 PM,
Buccaneers,Panthers,17,Sun,Jan 03rd,1:00 PM,
Saints,Falcons,17,Sun,Jan 03rd,1:00 PM,
Ravens,Bengals,17,Sun,Jan 03rd,1:00 PM,
Steelers,Browns,17,Sun,Jan 03rd,1:00 PM,
Jaguars,Texans,17,Sun,Jan 03rd,1:00 PM,
Titans,Colts,17,Sun,Jan 03rd,1:00 PM,
Raiders,Chiefs,17,Sun,Jan 03rd,1:00 PM,
Redskins,Cowboys,17,Sun,Jan 03rd,1:00 PM,
Eagles,Giants,17,Sun,Jan 03rd,1:00 PM,
Lions,Bears,17,Sun,Jan 03rd,1:00 PM,
Vikings,Packers,17,Sun,Jan 03rd,1:00 PM,
Chargers,Broncos,17,Sun,Jan 03rd,4:25 PM,
Seahawks,Cardinals,17,Sun,Jan 03rd,4:25 PM,
Rams,49ers,17,Sun,Jan 03rd,4:25 PM,
