Player,Team,Pos,Injury,Status
Jaycee Horn,25,CB,Concussion,Questionable
Tory Horton,29,WR,Shin,IR
Xavien Howard,12,CB,Personal,Reserve-Ret
Sam Hubbard,5,DE,Undisclosed,Reserve-Ret
Charley Hughlett,17,C,Abdomen,IR
Robert Hunt,25,OG,Biceps,IR
Travis Hunter,11,WR,Knee,IR
Adin Huntington,7,DE,Groin,Questionable
Ruben Hyppolite,23,LB,Shoulder,Questionable
Germain Ifedi,1,OT,Undisclosed,IR
Keaontay Ingram,16,RB,Undisclosed,IR
Bucky Irving,28,RB,Shoulder,Questionable
Adisa Isaac,8,LB,Elbow,IR-R
Isaiah Iton,4,DE,Hip,IR
Adoree' Jackson,17,CB,Head,Questionable
Austin Jackson,1,OT,Toe,IR-R
Brennan Jackson,15,LB,Foot,IR
Dan Jackson,22,S,Leg,IR
Donovan Jackson,21,OG,Ankle,Questionable
Drake Jackson,18,DE,Knee,IR-R
Lamar Jackson,8,QB,Toe,Questionable
Landon Jackson,3,DE,Knee,IR
Tarron Jackson,30,DE,Undisclosed,IR
Tyree Jackson,18,TE,Undisclosed,IR
Josh Jacobs,24,RB,Knee,Questionable
Javontae Jean-Baptiste,18,DE,Pectoral,IR
Ashton Jeanty,15,RB,Ankle,Questionable
Elgton Jenkins,24,C,Lower Leg,IR
Anthony Johnson,20,S,Undisclosed,PUP-R
Jaylon Johnson,23,CB,Groin,IR-R
Lane Johnson,17,OT,Foot,Questionable
Nazeeh Johnson,16,CB,Shoulder,IR-R
Roschon Johnson,23,RB,Thumb,IR
Will Johnson,31,CB,Back,Questionable
Braxton Jones,23,OT,Knee,IR
Broderick Jones,6,OT,Neck,Out
Cam Jones,2,LB,Hip,IR
Christian Jones,31,OT,Knee,IR-R
Dawand Jones,7,OT,Knee,IR
Dom Jones,7,CB,Knee,IR
Emory Jones,26,QB,Concussion,IR
Ernest Jones,29,LB,Knee,Questionable
Jamarco Jones,22,OT,Achilles,IR
Justin Jones,31,DT,Knee,IR
Patrick Jones,25,LB,Back,IR
Rob Jones,19,OG,Neck,IR
Travis Jones,8,DT,Ankle,Questionable
Zay Jones,31,WR,Achilles,IR
Brevin Jordan,10,TE,Knee,IR
Kerby Joseph,22,S,Knee,Questionable
Ale Kaho,18,LB,Concussion,Questionable
Alvin Kamara,27,RB,Knee,Questionable
Calijah Kancey,28,DT,Pectoral,IR
Trevor Keegan,19,OG,Neck,IR
Anthony Kendall,7,CB,Undisclosed,IR
Donte Kent,6,CB,Foot,IR
Ko Kieft,28,TE,Leg,IR
Miles Killebrew,6,S,Knee,IR
Dalton Kincaid,3,TE,Hamstring,Questionable
Tyrice Knight,29,LB,Concussion,Questionable
Kader Kohou,1,CB,Knee - ACL,IR
Bilhal Kone,8,CB,Knee,IR
Tucker Kraft,24,TE,Knee - ACL,IR
Lucas Krull,13,TE,Foot,IR
Quentin Lake,32,S,Elbow,IR
Brock Lampe,4,RB,Undisclosed,IR
Willie Lampkin,17,C,Knee,IR-R
Jaylin Lane,18,WR,Hip,Questionable
Sam LaPorta,22,TE,Back,IR
Lan Larison,4,RB,Foot,IR
Marshon Lattimore,18,CB,Knee - ACL,IR
Matt Lee,5,C,Knee,IR
Will Levis,9,QB,Shoulder,IR
Jourdan Lewis,11,CB,Neck,Questionable
MarShawn Lloyd,24,RB,Hamstring,IR-R
Drake London,26,WR,Knee - PCL,Questionable
Hunter Long,11,TE,Hip,Questionable
Robert Longerbeam,8,CB,Knee,IR
Isaiahh Loudermilk,6,DE,Ankle,IR
Rick Lovato,14,C,Undisclosed,Reserve-Ret
Julian Love,29,S,Hamstring,IR
Dean Lowry,6,DE,Knee,IR
Nnamdi Madubuike,8,DT,Neck,IR
Phil Mafah,19,RB,Shoulder,IR
Christian Mahogany,22,OG,Leg,IR
Jason Maitre,1,CB,Undisclosed,IR
DeAngelo Malone,26,LB,Ankle,IR
Giovanni Manu,22,OT,Knee,IR
Keyon Martin,8,CB,Ribs,Questionable
Tyrann Mathieu,27,S,Undisclosed,Reserve-Ret
Damarri Mathis,25,CB,Knee - ACL,IR
Phidarian Mathis,3,DT,Shoulder,Questionable
Alexander Mattison,1,RB,Neck,IR
Cody Mauch,28,OG,Knee,IR
