Player,Team,Pos,Injury,Status,Est. Return
DeShon Elliott,PIT,S,Undisclosed,IR-R,Subscribers Only
Keyshaun Elliott,CHI,LB,Undisclosed,Questionable,Subscribers Only
Nick Emmanwori,SEA,S,Ankle,Questionable,Subscribers Only
James Ester,FA,OG,Undisclosed,Questionable,Subscribers Only
Trevor Etienne,CAR,RB,Ankle,IR-R,Subscribers Only
Akayleb Evans,CAR,CB,Neck,Questionable,Subscribers Only
Mike Evans,SF,WR,Groin,Questionable,Subscribers Only
Obinna Eze,FA,OT,Undisclosed,Questionable,Subscribers Only
KC Eziomume,FA,CB,Undisclosed,Questionable,Subscribers Only
Princeton Fant,DAL,TE,Knee - ACL + MCL,IR,Subscribers Only
Andrew Farmer,SF,LB,Back,IR,Subscribers Only
Keldric Faulk,TEN,DE,Shoulder,Questionable,Subscribers Only
Da'Quan Felton,FA,WR,Undisclosed,Questionable,Subscribers Only
Terrance Ferguson,LAR,TE,General Soreness,Questionable,Subscribers Only
Tony Fields,CHI,LB,Undisclosed,IR-R,Subscribers Only
Anthony Firkser,FA,TE,Leg,Questionable,Subscribers Only
Dez Fitzpatrick,FA,WR,Undisclosed,Questionable,Subscribers Only
John FitzPatrick,FA,TE,Achilles,Questionable,Subscribers Only
Demetrius Flannigan-Fowles,FA,LB,Undisclosed,Questionable,Subscribers Only
Dontae Fleming,FA,WR,Undisclosed,Questionable,Subscribers Only
Dallis Flowers,CHI,CB,Leg,IR,Subscribers Only
Zay Flowers,BAL,WR,Lower Body,Questionable,Subscribers Only
Jaylan Ford,NO,LB,Undisclosed,IR-R,Subscribers Only
Jerome Ford,FA,RB,Hamstring,Questionable,Subscribers Only
Bryce Ford-Wheaton,FA,WR,Achilles,Questionable,Subscribers Only
Darrick Forrest,SF,S,Undisclosed,IR,Subscribers Only
Tyrek Funderburk,FA,CB,Undisclosed,Questionable,Subscribers Only
Dillon Gabriel,CLE,QB,Back,IR-R,Subscribers Only
Graham Gano,FA,K,Neck,Questionable,Subscribers Only
Sauce Gardner,IND,CB,Illness,Questionable,Subscribers Only
Nick Gargiulo,DEN,OG,Knee - ACL,PUP-R,Subscribers Only
Myles Garrett,LAR,DE,Knee,Questionable,Subscribers Only
Jonathan Garvin,CHI,DE,Undisclosed,IR,Subscribers Only
Nick Gates,FA,C,Groin,Questionable,Subscribers Only
Ali Gaye,HOU,LB,Knee,IR,Subscribers Only
Jameson Geers,ARI,TE,Undisclosed,IR,Subscribers Only
Antonio Gibson,FA,RB,Knee - ACL,Questionable,Subscribers Only
Luke Gifford,SF,LB,Hamstring,Questionable,Subscribers Only
Kelvin Gilliam,DAL,DT,Triceps,IR,Subscribers Only
Blake Gillikin,ARI,P,Groin,Questionable,Subscribers Only
Ashton Gillotte,KC,DE,Foot,Questionable,Subscribers Only
Alohi Gilman,KC,S,Back,Questionable,Subscribers Only
Graham Glasgow,FA,OG,Undisclosed,Questionable,Subscribers Only
Zane Gonzalez,FA,K,Undisclosed,Questionable,Subscribers Only
Monkell Goodwine,FA,DT,Undisclosed,Questionable,Subscribers Only
Kyler Gordon,CHI,CB,Calf,PUP-R,Subscribers Only
Ollie Gordon,MIA,RB,Ribs,Questionable,Subscribers Only
Kenneth Grant,MIA,DT,Leg,IR-R,Subscribers Only
Art Green,FA,CB,Undisclosed,Questionable,Subscribers Only
Kendrick Green,CLE,OG,Undisclosed,IR,Subscribers Only
Renardo Green,SF,CB,Hamstring,Questionable,Subscribers Only
Jonathan Greenard,PHI,LB,Pectoral,PUP-P,Subscribers Only
Will Grier,CAR,QB,Personal,Reserve-Ret,Subscribers Only
Luke Grimm,FA,WR,Undisclosed,Questionable,Subscribers Only
Isaac Guerendo,SF,RB,Pectoral,PUP-R,Subscribers Only
Tyler Guyton,DAL,OT,Elbow,Questionable,Subscribers Only
John Michael Gyllenborg,KC,TE,Knee,IR,Subscribers Only
Sam Hagen,HOU,OT,Undisclosed,IR,Subscribers Only
Breece Hall,NYJ,RB,Groin,Questionable,Subscribers Only
Darren Hall,ATL,CB,Undisclosed,IR,Subscribers Only
Kemon Hall,FA,CB,Undisclosed,Questionable,Subscribers Only
Gracen Halton,SF,DT,Ankle,Questionable,Subscribers Only
C.J. Ham,MIN,FB,Undisclosed,Reserve-Ret,Subscribers Only
Kyonte Hamilton,HOU,DT,Undisclosed,IR,Subscribers Only
Dominique Hampton,FA,LB,Undisclosed,Questionable,Subscribers Only
Nick Hampton,FA,LB,Undisclosed,Questionable,Subscribers Only
Johnathan Hankins,FA,DT,Back,Questionable,Subscribers Only
Jake Hansen,HOU,LB,Ankle,Questionable,Subscribers Only
C.J. Hanson,FA,OG,Undisclosed,Questionable,Subscribers Only
Justin Hardee,FA,CB,Undisclosed,Questionable,Subscribers Only
Daequan Hardy,PIT,CB,Undisclosed,IR,Subscribers Only
Bruce Harmon,FA,CB,Knee,Questionable,Subscribers Only
Jaylen Harrell,TEN,LB,Knee - ACL,IR,Subscribers Only
Darius Harris,FA,LB,Undisclosed,Questionable,Subscribers Only
Tre' Harris,LAC,WR,Undisclosed,Questionable,Subscribers Only
Zxavian Harris,FA,DT,Foot,Questionable,Subscribers Only
Ronnie Harrison,MIA,LB,Hamstring,Questionable,Subscribers Only
Deonte Harty,FA,WR,Knee,Questionable,Subscribers Only
A.J. Haulcy,IND,S,Ankle,Questionable,Subscribers Only
Josh Hayes,TB,CB,Knee,IR-R,Subscribers Only
Ryan Hayes,FA,OT,Undisclosed,Questionable,Subscribers Only
Romello Height,SF,LB,Undisclosed,Questionable,Subscribers Only
Michael Heldman,FA,DE,Undisclosed,Questionable,Subscribers Only
TreVeyon Henderson,NE,RB,Ankle,Questionable,Subscribers Only
Matt Hennessy,DAL,C,Neck,IR,Subscribers Only
Matt Henningsen,DEN,DT,Achilles,IR,Subscribers Only
KJ Henry,FA,DE,Undisclosed,Questionable,Subscribers Only
Tyron Herring,FA,CB,Undisclosed,Questionable,Subscribers Only
Elijah Hicks,CHI,S,Shin,Questionable,Subscribers Only
Jay Higgins,BAL,LB,Concussion,Questionable,Subscribers Only
Jayden Higgins,HOU,WR,Knee - ACL,IR,Subscribers Only
Tee Higgins,CIN,WR,Heel,Questionable,Subscribers Only
Dax Hill,CIN,CB,Hamstring,Questionable,Subscribers Only
Julian Hill,NE,TE,Knee,IR,Subscribers Only
Tyreek Hill,FA,WR,Knee - ACL,Out,Subscribers Only
Mike Hilton,FA,CB,Shoulder,Questionable,Subscribers Only
Kurt Hinish,FA,DT,Undisclosed,Questionable,Subscribers Only
Nate Hobbs,SF,CB,Groin,IR,Subscribers Only
Michael Hoecht,BUF,DE,Achilles,Questionable,Subscribers Only
Jimmy Holiday,KC,WR,Undisclosed,IR,Subscribers Only
Justin Hollins,FA,LB,Undisclosed,Questionable,Subscribers Only
Colton Hood,NYG,CB,Quadriceps,Questionable,Subscribers Only
Dylan Horton,HOU,DE,Achilles,IR,Subscribers Only
Tory Horton,SEA,WR,Undisclosed,Questionable,Subscribers Only
Dennis Houston,FA,WR,Groin,Questionable,Subscribers Only
Chuba Hubbard,CAR,RB,Hamstring,Questionable,Subscribers Only
Kyron Hudson,FA,WR,Undisclosed,Questionable,Subscribers Only
Parker Hughes,JAX,LB,Undisclosed,IR,Subscribers Only
Connor Hulstein,FA,TE,Undisclosed,Questionable,Subscribers Only
Jaylon Hutchings,FA,DT,Undisclosed,Questionable,Subscribers Only
Ruben Hyppolite,CHI,LB,Shoulder,IR,Subscribers Only
Germain Ifedi,FA,OT,Undisclosed,Questionable,Subscribers Only
Ja'Marcus Ingram,HOU,CB,Shoulder,IR-R,Subscribers Only
Andy Isabella,FA,WR,Ankle,Questionable,Subscribers Only
Isaiah Iton,NE,DT,Undisclosed,IR,Subscribers Only
Alaric Jackson,LAR,OT,Illness,Questionable,Subscribers Only
Brennan Jackson,LV,LB,Undisclosed,IR,Subscribers Only
Dane Jackson,JAX,CB,Personal,Reserve-Ret,Subscribers Only
Drake Jackson,FA,LB,Hamstring,Questionable,Subscribers Only
Ja'Quinden Jackson,FA,RB,Undisclosed,Questionable,Subscribers Only
Tyree Jackson,FA,TE,Undisclosed,Questionable,Subscribers Only
Curtis Jacobs,WAS,LB,Undisclosed,IR,Subscribers Only
Josh Jacobs,GB,RB,Personal,Reserve-CEL,Subscribers Only
Khalil Jacobs,NE,LB,Undisclosed,IR,Subscribers Only
Andre James,FA,C,Undisclosed,Questionable,Subscribers Only
DJ James,FA,CB,Undisclosed,Questionable,Subscribers Only
Shemar Jean-Charles,FA,CB,Undisclosed,Questionable,Subscribers Only
Ashton Jeanty,LV,RB,Ankle,Questionable,Subscribers Only
Jermar Jefferson,MIN,RB,Undisclosed,IR,Subscribers Only
Terrell Jennings,FA,RB,Undisclosed,Questionable,Subscribers Only
Josey Jewell,FA,LB,Concussion,Questionable,Subscribers Only
John Jiles,FA,WR,Undisclosed,Questionable,Subscribers Only
Alex Johnson,LAR,CB,Undisclosed,IR,Subscribers Only
Isaiah Johnson,FA,CB,Knee - ACL,Questionable,Subscribers Only
Jaylon Johnson,CHI,CB,Arm,Questionable,Subscribers Only
Lonnie Johnson,FA,S,Leg,Questionable,Subscribers Only
Nazeeh Johnson,FA,CB,Ankle,Questionable,Subscribers Only
Theo Johnson,NYG,TE,Shoulder,Questionable,Subscribers Only
Ty Johnson,BUF,RB,Lower Leg,Questionable,Subscribers Only
Will Johnson,ARI,CB,Lower Body,Questionable,Subscribers Only
Kingsley Jonathan,NYJ,DE,Thigh,IR,Subscribers Only
Dom Jones,FA,CB,Knee,Questionable,Subscribers Only
Jacoby Jones,WAS,WR,Undisclosed,IR,Subscribers Only
Jamarco Jones,FA,OT,Achilles,Questionable,Subscribers Only
Jaylon Jones,FA,CB,Hamstring,Questionable,Subscribers Only
Jeshaun Jones,MIN,WR,Suspension,Reserve-Sus,Subscribers Only
Jonathan Jones,PHI,CB,Shoulder,Questionable,Subscribers Only
Justin Jones,FA,DT,Knee,Questionable,Subscribers Only
Marlon Jones,GB,CB,Undisclosed,IR,Subscribers Only
Naquan Jones,FA,DT,Undisclosed,Questionable,Subscribers Only
Brevin Jordan,HOU,TE,Knee,Questionable,Subscribers Only
Cameron Jordan,NO,DE,Hamstring,Questionable,Subscribers Only
Kerby Joseph,DET,S,Knee,PUP-R,Subscribers Only
Michael Jurgens,MIN,C,Undisclosed,IR-R,Subscribers Only
Kyle Juszczyk,SF,FB,Finger,Questionable,Subscribers Only
Will Kacmarek,MIA,TE,Undisclosed,Questionable,Subscribers Only
Nikola Kalinic,CHI,TE,Knee,IR,Subscribers Only
Alvin Kamara,NO,RB,Knee - MCL,Questionable,Subscribers Only
Mikail Kamara,SF,LB,Knee,IR,Subscribers Only
Mohamed Kamara,TB,LB,Knee,IR,Subscribers Only
Jaren Kanak,TEN,TE,Pectoral,IR,Subscribers Only
Sanoussi Kane,FA,S,Undisclosed,Questionable,Subscribers Only
Aidan Keanaaina,FA,DT,Undisclosed,Questionable,Subscribers Only
Kyu Blu Kelly,FA,CB,Knee,Questionable,Subscribers Only
Kyle Kennard,FA,LB,Undisclosed,Questionable,Subscribers Only
Donte Kent,PIT,CB,Undisclosed,PUP-R,Subscribers Only
Austin Keys,FA,LB,Undisclosed,Questionable,Subscribers Only
Lawrence Keys,FA,WR,Leg,Questionable,Subscribers Only
Jimmy Kibble,FA,WR,Undisclosed,Questionable,Subscribers Only
Amari Kight,FA,OT,Undisclosed,Questionable,Subscribers Only
Haynes King,CAR,QB,Hamstring,Questionable,Subscribers Only
Kevin King,FA,CB,Undisclosed,Questionable,Subscribers Only
Christian Kirk,SF,WR,Calf,IR-R,Subscribers Only
Jaxson Kirkland,FA,OG,Undisclosed,Questionable,Subscribers Only
Miles Kitselman,FA,TE,Leg,Questionable,Subscribers Only
George Kittle,SF,TE,Achilles,Questionable,Subscribers Only
Bilhal Kone,BAL,CB,Lower Body,IR-R,Subscribers Only
Rene Konga,MIA,DT,Undisclosed,IR,Subscribers Only
Tanoh Kpassagnon,TEN,DE,Undisclosed,IR,Subscribers Only
Tucker Kraft,GB,TE,Knee - ACL,Questionable,Subscribers Only
Luke Lachey,FA,TE,Foot,Questionable,Subscribers Only
Caullin Lacy,FA,WR,Undisclosed,Questionable,Subscribers Only
Kendall Lamm,BAL,OT,Undisclosed,Reserve-Ret,Subscribers Only
Chris Lammons,FA,CB,Foot,Questionable,Subscribers Only
Harold Landry,NE,LB,Undisclosed,PUP-R,Subscribers Only
Sam LaPorta,DET,TE,Hip,Questionable,Subscribers Only
Hayden Large,CHI,TE,Undisclosed,IR,Subscribers Only
Tucker Large,PHI,S,Undisclosed,NFI-R,Subscribers Only
Marshon Lattimore,FA,CB,Knee - ACL,Questionable,Subscribers Only
Kendrick Law,DET,WR,Knee - ACL,IR,Subscribers Only
Logan Lee,PIT,DT,Undisclosed,IR,Subscribers Only
Xavier Legette,CAR,WR,Ankle,Questionable,Subscribers Only
Shane Lemieux,FA,C,Undisclosed,Questionable,Subscribers Only
Montana Lemonious-Craig,FA,WR,Lower Body,Questionable,Subscribers Only
Titus Leo,FA,DE,Undisclosed,Questionable,Subscribers Only
Chad Lindberg,FA,C,Undisclosed,Questionable,Subscribers Only
Marist Liufau,DAL,LB,Forearm,IR-R,Subscribers Only
Devin Lloyd,CAR,LB,Knee,Questionable,Subscribers Only
Caleb Lohner,DEN,TE,Lower Body,IR-R,Subscribers Only
David Long,NO,CB,Undisclosed,IR,Subscribers Only
Jeremiyah Love,ARI,RB,Ankle,Questionable,Subscribers Only
Vederian Lowe,SF,OT,Ankle,Questionable,Subscribers Only
Reuben Lowery,IND,S,Undisclosed,Reserve-Ret,Subscribers Only
Chase Lucas,FA,CB,Undisclosed,Questionable,Subscribers Only
Tyler Mabry,FA,TE,Undisclosed,Questionable,Subscribers Only
Nnamdi Madubuike,BAL,DT,Neck,Questionable,Subscribers Only
Jordan Magee,WAS,LB,Shoulder,Questionable,Subscribers Only
T.J. Maguranyanga,FA,DE,Undisclosed,Questionable,Subscribers Only
Patrick Mahomes,KC,QB,Knee - ACL,Questionable,Subscribers Only
Jason Maitre,FA,CB,Undisclosed,Questionable,Subscribers Only
Will Mallory,IND,TE,Thumb,IR-R,Subscribers Only
DeAngelo Malone,ATL,LB,Undisclosed,PUP-R,Subscribers Only
Dontae Manning,CHI,CB,Undisclosed,IR,Subscribers Only
Giovanni Manu,DET,OT,Knee,NFI-R,Subscribers Only
Marte Mapu,FA,LB,Undisclosed,Questionable,Subscribers Only
