Week,Day,Date,Visitor,Home,Time
15,Sun,Dec 17,Rams,Seahawks,4:05 PM
15,Sun,Dec 17,Patriots,Steelers,4:25 PM
15,Sun,Dec 17,Titans,49ers,4:25 PM
15,Sun,Dec 17,Cowboys,Raiders,8:30 PM
15,Mon,Dec 18,Falcons,Buccaneers,8:30 PM
16,Sat,Dec 23,Colts,Ravens,4:30 PM
16,Sat,Dec 23,Vikings,Packers,8:30 PM
16,Sun,Dec 24,Buccaneers,Panthers,1:00 PM
16,Sun,Dec 24,Browns,Bears,1:00 PM
16,Sun,Dec 24,Lions,Bengals,1:00 PM
16,Sun,Dec 24,Dolphins,Chiefs,1:00 PM
16,Sun,Dec 24,Falcons,Saints,1:00 PM
16,Sun,Dec 24,Bills,Patriots,1:00 PM
16,Sun,Dec 24,Chargers,Jets,1:00 PM
16,Sun,Dec 24,Rams,Titans,1:00 PM
16,Sun,Dec 24,Broncos,Redskins,1:00 PM
16,Sun,Dec 24,Jaguars,49ers,4:05 PM
16,Sun,Dec 24,Giants,Cardinals,4:25 PM
16,Sun,Dec 24,Seahawks,Cowboys,4:25 PM
16,Mon,Dec 25,Steelers,Texans,4:30 PM
16,Mon,Dec 25,Raiders,Eagles,8:30 PM
17,Sun,Dec 31,Panthers,Falcons,1:00 PM
17,Sun,Dec 31,Texans,Colts,1:00 PM
17,Sun,Dec 31,Packers,Lions,1:00 PM
17,Sun,Dec 31,Bills,Dolphins,1:00 PM
17,Sun,Dec 31,Bears,Vikings,1:00 PM
17,Sun,Dec 31,Jets,Patriots,1:00 PM
17,Sun,Dec 31,Redskins,Giants,1:00 PM
17,Sun,Dec 31,Jaguars,Titans,1:00 PM
17,Sun,Dec 31,Cowboys,Eagles,1:00 PM
17,Sun,Dec 31,Browns,Steelers,1:00 PM
17,Sun,Dec 31,Bengals,Ravens,1:00 PM
17,Sun,Dec 31,Saints,Buccaneers,1:00 PM
17,Sun,Dec 31,Chiefs,Broncos,4:25 PM
17,Sun,Dec 31,49ers,Rams,4:25 PM
17,Sun,Dec 31,Raiders,Chargers,4:25 PM
17,Sun,Dec 31,Cardinals,Seahawks,4:25 PM
