Player,Team,Pos,Injury,Status
Nick Martin,30,LB,Concussion,Questionable
Tyrann Mathieu,27,S,Undisclosed,Reserve-Ret
Damarri Mathis,25,CB,Knee - ACL,IR
Alexander Mattison,1,RB,Neck,IR
Cody Mauch,28,OG,Knee,IR
Francisco Mauigoa,2,LB,Shoulder,Questionable
Michael Mayer,15,TE,Ankle,Questionable
Cade Mays,25,C,Ankle,Questionable
Luke McCaffrey,18,WR,Collarbone,IR
Erik McCoy,27,C,Biceps,IR
Marcelino McCrary-Ball,2,LB,Hamstring,IR
Roger McCreary,32,CB,Hip,IR
Trent McDuffie,16,CB,Knee,Questionable
Micah McFadden,20,LB,Foot,IR
Kaleb McGary,26,OT,Leg,IR
Kenny McIntosh,29,RB,Knee - ACL,IR
Jalen McLeod,11,LB,Lower Body,IR-R
Jalen McMillan,28,WR,Neck,IR-R
Bub Means,27,WR,Lower Leg,IR
Max Melton,31,CB,Heel,Questionable
DK Metcalf,6,WR,Stomach,Questionable
Andrew Meyer,1,C,Undisclosed,IR-R
Kendre Miller,27,RB,Knee - ACL,IR
Kolton Miller,15,OT,Ankle,IR
Rylie Mills,29,DT,Knee - ACL,NFI-R
Keaton Mitchell,8,RB,Knee,Questionable
Joe Mixon,10,RB,Foot,NFI-R
Elijah Molden,14,S,Hamstring,Questionable
D.J. Montgomery,12,WR,Undisclosed,IR
David Moore,25,WR,Elbow,IR
Rondale Moore,21,WR,Knee,IR
T.J. Moore,20,CB,Upper Leg,IR
Wanya Morris,16,OT,Knee,Out
Darius Muasau,20,LB,Ankle,IR-R
Andrew Mukuba,17,S,Ankle,IR
Sean Murphy-Bunting,31,CB,Knee,NFI-R
Kyler Murray,31,QB,Foot,IR
Malik Nabers,20,WR,Knee - ACL,IR
Evan Neal,20,OG,Hamstring,IR
Matt Nelson,21,OT,Undisclosed,IR
Luke Newman,23,OG,Foot,IR
Lucas Niang,18,OT,Knee - ACL,IR
Bilal Nichols,31,DT,Knee,Questionable
Nick Niemann,24,LB,Pectoral,IR
David Njoku,7,TE,Knee,Questionable
Walter Nolen,31,DT,Knee,Questionable
Omarr Norman-Lott,16,DT,Knee - ACL,IR
Storm Norton,26,OT,Foot,IR
Dayo Odeyingbo,23,DE,Achilles,IR
Rome Odunze,23,WR,Foot,Questionable
Azeez Ojulari,17,LB,Hamstring,IR
Ogbo Okoronkwo,17,LB,Triceps,IR
Sam Okuayinonu,30,DE,Ankle,Questionable
Jeff Okudah,21,CB,Concussion,IR
Oluwafemi Oladejo,9,LB,Leg,IR
Jordan Oladokun,14,CB,Undisclosed,IR
Bryce Oliver,9,WR,Knee,IR
Collin Oliver,24,DE,Hamstring,PUP-R
Ed Oliver,3,DT,Biceps,IR
Gunner Olszewski,20,WR,Concussion,Questionable
Levi Onwuzurike,22,DT,Knee - ACL,PUP-R
David Onyemata,26,DT,Foot,Questionable
Anfernee Orji,9,LB,Knee - ACL,IR
Justin Osborne,7,C,Undisclosed,IR
Joseph Ossai,5,DE,Shin,Questionable
Cade Otton,28,TE,Knee,Questionable
Wande Owens,3,S,Undisclosed,IR
Jeremiah Owusu-Koramoah,7,LB,Neck,PUP-R
Joshua Palmer,3,WR,Knee,Questionable
Trey Palmer,27,WR,Ankle,IR
Donald Parham,6,TE,Achilles,IR
Josh Paschal,22,DE,Back,NFI-R
Matt Peart,13,OG,Knee,IR
Andrus Peat,6,OT,Concussion,Questionable
Michael Penix,26,QB,Knee - ACL,IR
Clark Phillips,26,CB,Triceps,IR
Jacob Phillips,12,LB,Biceps,IR
Alec Pierce,12,WR,Undisclosed,Questionable
Michael Pierce,8,DT,Undisclosed,Reserve-Ret
Brandon Pili,29,DT,Knee,Questionable
Eddy Pineiro,30,K,Hamstring,Questionable
Trey Pipkins,14,OT,Ankle,Questionable
Kyle Pitts,26,TE,Knee,Questionable
Mason Pline,27,TE,Upper Body,IR
Ethan Pocic,7,C,Achilles,IR
Ja'Lynn Polk,27,WR,Shoulder,IR
Ben Powers,13,OG,Biceps,IR
Jackson Powers-Johnson,15,OG,Ankle,IR
Deneric Prince,4,RB,Undisclosed,IR
Frank Ragnow,22,C,Hamstring,Reserve-Ret
Ennis Rakestraw,22,CB,Shoulder,IR
Ryan Ramczyk,27,OT,Undisclosed,Reserve-Ret
Caleb Ransaw,11,S,Lower Body,IR
Lathan Ransom,25,S,Thumb,Questionable
Taylor Rapp,3,S,Knee,IR
Kalif Raymond,22,WR,Ankle,Questionable
Haason Reddick,28,LB,Ankle,Questionable
Jaylen Reed,10,S,Forearm,IR
Justin Reid,27,S,Knee,Questionable
Karene Reid,13,LB,Hamstring,IR
Winston Reid,7,LB,Back,IR-R
Tip Reiman,31,TE,Ankle,IR
Nikko Remigio,16,WR,Shoulder,Questionable
Josh Reynolds,2,WR,Hip,IR
