Player,Team,Pos,Injury,Status,Est. Return
Jamell Garcia-Williams,FA,DE,Undisclosed,Questionable,Subscribers Only
C.J. Gardner-Johnson,DET,S,Pectoral,IR,Subscribers Only
Ben Garland,FA,C,Calf,Questionable,Subscribers Only
Luke Gifford,TEN,LB,Shoulder,Questionable,Subscribers Only
Mark Gilbert,FA,CB,Undisclosed,Questionable,Subscribers Only
Cullen Gillaspia,FA,LB,Knee,Questionable,Subscribers Only
Jordan Glasgow,FA,LB,Undisclosed,Questionable,Subscribers Only
Luke Goedeke,TB,OG,Foot,Questionable,Subscribers Only
Dallas Goedert,PHI,TE,Forearm,Doubtful,Subscribers Only
Eddie Goldman,ATL,DT,Undisclosed,Reserve-Ex,Subscribers Only
Matt Gono,FA,OT,Neck,Questionable,Subscribers Only
Christian Gonzalez,NE,CB,Shoulder - Labrum,IR,Subscribers Only
Zane Gonzalez,FA,K,Calf,Questionable,Subscribers Only
C.J. Goodwin,DAL,CB,Pectoral,IR,Subscribers Only
Marquise Goodwin,CLE,WR,Concussion,Out,Subscribers Only
Tay Gowan,FA,CB,Undisclosed,Questionable,Subscribers Only
Alfonzo Graham,PIT,RB,Undisclosed,IR,Subscribers Only
Jaeden Graham,FA,TE,Undisclosed,Questionable,Subscribers Only
Thomas Graham,CLE,CB,Ankle,IR,Subscribers Only
Jakeem Grant,CLE,WR,Kneecap,IR,Subscribers Only
Danny Gray,SF,WR,Shoulder - AC Joint,IR,Subscribers Only
Eric Gray,NYG,RB,Calf,IR,Subscribers Only
Kendrick Green,HOU,OG,Knee - Meniscus,IR,Subscribers Only
Kenyon Green,HOU,OG,Shoulder - Labrum,IR,Subscribers Only
Virgil Green,FA,TE,Ankle,Questionable,Subscribers Only
Jonathan Greenard,HOU,DE,Shoulder,Questionable,Subscribers Only
Raven Greene,FA,S,Undisclosed,Questionable,Subscribers Only
Ethan Greenidge,ATL,OT,Undisclosed,IR,Subscribers Only
Everson Griffen,FA,DE,Personal,Questionable,Subscribers Only
Jonas Griffith,DEN,LB,Knee - ACL,IR,Subscribers Only
Trevon Grimes,FA,WR,Undisclosed,Questionable,Subscribers Only
Yetur Gross-Matos,CAR,LB,Hamstring,IR,Subscribers Only
Ryan Groy,FA,OG,Triceps,Questionable,Subscribers Only
Javelin Guidry,NYJ,CB,Knee,IR,Subscribers Only
Troy Hairston,HOU,FB,Back,IR,Subscribers Only
Grant Haley,FA,CB,Knee - ACL,Questionable,Subscribers Only
Emanuel Hall,FA,WR,Achilles,Questionable,Subscribers Only
Jaren Hall,MIN,QB,Concussion,Questionable,Subscribers Only
Logan Hall,TB,DE,Groin,Questionable,Subscribers Only
Maalik Hall,NYJ,LB,Undisclosed,IR,Subscribers Only
Terez Hall,NE,LB,Undisclosed,IR,Subscribers Only
DaeSean Hamilton,FA,WR,Undisclosed,Questionable,Subscribers Only
Devery Hamilton,FA,OT,Lower Leg,Questionable,Subscribers Only
Malik Hamm,BAL,LB,Ankle,IR,Subscribers Only
Saquan Hampton,FA,S,Achilles,Questionable,Subscribers Only
Jake Hansen,HOU,LB,Hand,Doubtful,Subscribers Only
Tre Harbison,FA,RB,Concussion,Questionable,Subscribers Only
Justin Hardee,NYJ,CB,Hamstring,IR,Subscribers Only
Javon Hargrave,SF,DT,Knee,Questionable,Subscribers Only
Clark Harris,FA,C,Biceps,Questionable,Subscribers Only
Damien Harris,BUF,RB,Concussion,IR,Subscribers Only
Dwayne Harris,FA,WR,Triceps,Questionable,Subscribers Only
Keilahn Harris,FA,WR,Undisclosed,Questionable,Subscribers Only
Penny Hart,FA,WR,Concussion,Questionable,Subscribers Only
Montre Hartage,FA,S,Undisclosed,Questionable,Subscribers Only
Kolby Harvell-Peel,FA,S,Hamstring,Questionable,Subscribers Only
Hassan Haskins,TEN,RB,Undisclosed,IR,Subscribers Only
J.C. Hassenauer,NYG,C,Triceps,IR,Subscribers Only
Broughton Hatcher,FA,C,Undisclosed,Questionable,Subscribers Only
Rob Havenstein,LAR,OT,Calf,Questionable,Subscribers Only
Jerald Hawkins,FA,OT,Undisclosed,Questionable,Subscribers Only
