Player,Team,Pos,Injury,Status,Est. Return
De'Shaan Dixon,JAX,LB,Knee - ACL,IR,Subscribers Only
JoJo Domann,FA,LB,Undisclosed,Questionable,Subscribers Only
Aaron Donald,FA,DT,Undisclosed,Reserve-Ret,Subscribers Only
Keelan Doss,FA,WR,Undisclosed,Questionable,Subscribers Only
Colton Dowell,TEN,WR,Knee - ACL,PUP-R,Subscribers Only
Tommy Doyle,BUF,OT,Knee,PUP-R,Subscribers Only
Dakota Dozier,FA,OG,Knee - ACL,Questionable,Subscribers Only
Josh Drayden,FA,CB,Undisclosed,Questionable,Subscribers Only
Grant DuBose,MIA,WR,Shoulder,IR,Subscribers Only
Storm Duck,MIA,CB,Shoulder,Questionable,Subscribers Only
Michael Dunn,CLE,OG,Undisclosed,NFI-R,Subscribers Only
Yasir Durant,FA,OG,Undisclosed,Questionable,Subscribers Only
David Durden,FA,WR,Undisclosed,Questionable,Subscribers Only
Silas Dzansi,TB,OT,Knee,IR,Subscribers Only
Nate Ebner,FA,S,Ankle,Questionable,Subscribers Only
Trestan Ebner,FA,RB,Concussion,Questionable,Subscribers Only
Samson Ebukam,IND,DE,Achilles,IR-R,Subscribers Only
Chase Edmonds,TB,RB,Knee,IR,Subscribers Only
Chuma Edoga,DAL,OT,Toe,IR,Subscribers Only
Clyde Edwards-Helaire,KC,RB,Illness,NFI-R,Subscribers Only
Milo Eifler,ATL,LB,Undisclosed,IR,Subscribers Only
Duke Ejiofor,FA,LB,Undisclosed,Questionable,Subscribers Only
Austin Ekeler,WAS,RB,Concussion,Questionable,Subscribers Only
Hamze El-Zayat,FA,WR,Undisclosed,Questionable,Subscribers Only
Pat Elflein,FA,C,Calf,Questionable,Subscribers Only
Tino Ellis,FA,CB,Undisclosed,Questionable,Subscribers Only
Evan Engram,JAX,TE,Hamstring,Questionable,Subscribers Only
Marcus Epps,LV,S,Knee - ACL,IR,Subscribers Only
Donnie Ernsberger,FA,TE,Undisclosed,Questionable,Subscribers Only
Tyler Ervin,FA,RB,Foot,Questionable,Subscribers Only
Audric Estime,DEN,RB,Ankle,IR,Subscribers Only
Drew Estrada,FA,WR,Achilles,Questionable,Subscribers Only
Chris Evans,CIN,RB,Leg,IR,Subscribers Only
Darrynton Evans,BUF,RB,Hamstring,IR-R,Subscribers Only
Justin Evans,FA,S,Knee,Questionable,Subscribers Only
Jequez Ezzard,FA,WR,Undisclosed,Questionable,Subscribers Only
Brandon Facyson,FA,CB,Undisclosed,Questionable,Subscribers Only
Diego Fagot,FA,LB,Undisclosed,Questionable,Subscribers Only
George Fant,SEA,OT,Knee,IR,Subscribers Only
Matt Farniok,FA,OG,Undisclosed,Questionable,Subscribers Only
Troy Fautanu,PIT,OT,Kneecap,IR,Subscribers Only
Breiden Fehoko,FA,DT,Arm,Questionable,Subscribers Only
Viliami Fehoko,FA,DE,Undisclosed,Questionable,Subscribers Only
Jon Feliciano,SF,OG,Knee,IR,Subscribers Only
Rashad Fenton,FA,CB,Undisclosed,Questionable,Subscribers Only
Ethan Fernea,FA,WR,Undisclosed,Questionable,Subscribers Only
Clelin Ferrell,WAS,DE,Knee,Questionable,Subscribers Only
Tony Fields,CLE,LB,Ankle,IR,Subscribers Only
Sharif Finch,FA,LB,Undisclosed,Questionable,Subscribers Only
Eric Fisher,FA,OT,Calf,Questionable,Subscribers Only
Jeremy Flax,MIN,OT,Undisclosed,IR,Subscribers Only
Dallis Flowers,IND,CB,Leg,Questionable,Subscribers Only
Trey Flowers,FA,LB,Foot,Questionable,Subscribers Only
Drew Forbes,FA,OG,Back,Questionable,Subscribers Only
Emmanuel Forbes,WAS,CB,Thumb,Questionable,Subscribers Only
Dee Ford,FA,DE,Back,Questionable,Subscribers Only
Isaiah Ford,FA,WR,Undisclosed,Questionable,Subscribers Only
Jonathan Ford,GB,DT,Calf,IR-R,Subscribers Only
Jeff Foreman,LV,WR,Knee,IR,Subscribers Only
L.J. Fort,FA,LB,Knee - ACL,Questionable,Subscribers Only
Leki Fotu,NYJ,DT,Hamstring,IR-R,Subscribers Only
Tomari Fox,LV,DT,Undisclosed,IR,Subscribers Only
Ja'Mion Franklin,FA,DT,Undisclosed,Questionable,Subscribers Only
John Franklin,FA,WR,Knee - ACL,Questionable,Subscribers Only
Sam Franklin,CAR,S,Foot,IR-R,Subscribers Only
Wesley French,IND,C,Ankle,IR,Subscribers Only
Jordan Fuller,CAR,S,Hamstring,IR,Subscribers Only
Kendall Fuller,MIA,CB,Concussion,Questionable,Subscribers Only
Kyle Fuller,FA,CB,Knee - ACL,Questionable,Subscribers Only
Will Fuller,FA,WR,Finger,Questionable,Subscribers Only
