Player,Team,Pos,Injury,Status
Matt Gono,FA,OT,Neck,Questionable
Christian Gonzalez,NE,CB,Shoulder - Labrum,IR
Zane Gonzalez,FA,K,Calf,Questionable
C.J. Goodwin,DAL,CB,Pectoral,IR
Tay Gowan,FA,CB,Undisclosed,Questionable
Alfonzo Graham,PIT,RB,Undisclosed,IR
Jaeden Graham,FA,TE,Undisclosed,Questionable
Thomas Graham,CLE,CB,Ankle,IR
Kylen Granson,IND,TE,Concussion,Questionable
Jakeem Grant,CLE,WR,Kneecap,IR
Danny Gray,SF,WR,Shoulder - AC Joint,IR
Eric Gray,NYG,RB,Calf,IR
J.T. Gray,NO,S,Hamstring,Questionable
Kendrick Green,HOU,OG,Knee - Meniscus,IR
Kenyon Green,HOU,OG,Shoulder - Labrum,IR
Virgil Green,FA,TE,Ankle,Questionable
Raven Greene,FA,S,Undisclosed,Questionable
Ethan Greenidge,ATL,OT,Undisclosed,IR
Everson Griffen,FA,DE,Personal,Questionable
Jonas Griffith,DEN,LB,Knee - ACL,IR
Trevon Grimes,FA,WR,Undisclosed,Questionable
Yetur Gross-Matos,CAR,LB,Hamstring,IR
Ryan Groy,FA,OG,Triceps,Questionable
Javelin Guidry,NYJ,CB,Knee,IR
Sebastian Gutierrez,FA,OT,Undisclosed,Out
Jalen Guyton,LAC,WR,Knee - ACL,PUP-R
Troy Hairston,HOU,FB,Back,IR
Grant Haley,FA,CB,Knee - ACL,Questionable
Emanuel Hall,FA,WR,Achilles,Questionable
Kemon Hall,FA,CB,Undisclosed,Questionable
Maalik Hall,NYJ,LB,Undisclosed,IR
Terez Hall,NE,LB,Undisclosed,IR
Antonio Hamilton,ARI,CB,Groin,Questionable
DaeSean Hamilton,FA,WR,Undisclosed,Questionable
DaVon Hamilton,JAX,DT,Back,IR-R
Devery Hamilton,FA,OT,Lower Leg,Questionable
Malik Hamm,BAL,LB,Ankle,IR
Saquan Hampton,FA,S,Achilles,Questionable
Jake Hanson,FA,C,Shin,Questionable
Tre Harbison,FA,RB,Concussion,Questionable
Justin Hardee,NYJ,CB,Hamstring,IR
Devin Harper,CIN,LB,Hamstring,Questionable
