Player,Team,Pos,Injury,Status
Tommy Sweeney,24,TE,Undisclosed,NFI-R
Andrew Thomas,24,OT,Hamstring,Questionable
Bradlee Anae,25,DE,Undisclosed,IR
Jarrick Bernard-Converse,25,CB,Foot,PUP-R
Duane Brown,25,OT,Shoulder,IR
Chuck Clark,25,S,Knee - ACL,IR
Micheal Clemons,25,DT,Ankle,Questionable
Brandin Echols,25,CB,Hamstring,Questionable
Sauce Gardner,25,CB,Concussion,Questionable
Javelin Guidry,25,CB,Knee,IR
Maalik Hall,25,LB,Undisclosed,IR
Justin Hardee,25,CB,Hamstring,IR
Hamsah Nasirildeen,25,LB,Neck,IR
Ifeadi Odenigbo,25,DE,Undisclosed,IR
D.J. Reed,25,CB,Concussion,Questionable
Aaron Rodgers,25,QB,Achilles,IR
Joe Tippmann,25,OG,Thigh,Questionable
Alijah Vera-Tucker,25,OG,Achilles,IR
Kenny Yeboah,25,TE,Hamstring,IR
Reed Blankenship,26,S,Ribs,Questionable
Shaun Bradley,26,LB,Achilles,IR
Sydney Brown,26,S,Hamstring,Questionable
Jalen Carter,26,DT,Ankle,Questionable
Justin Evans,26,S,Knee,IR
Myles Jack,26,LB,Personal,Reserve-Ret
Lane Johnson,26,OT,Ankle,Questionable
Roderick Johnson,26,OT,Undisclosed,IR
Cam Jurgens,26,OG,Foot,IR
Matt Leo,26,DE,Undisclosed,Reserve-Ret
Avonte Maddox,26,CB,Pectoral,IR
Zech McPhearson,26,CB,Achilles,IR
Eli Ricks,26,CB,Knee,Questionable
Bradley Roby,26,CB,Shoulder,Questionable
Isaiah Rodgers,26,CB,Suspension,Reserve-Sus
Darius Slay,26,CB,Knee,Questionable
Marlon Tuipulotu,26,DT,Triceps,Questionable
Quez Watkins,26,WR,Hamstring,IR
James Daniels,27,OG,Groin,Questionable
Pat Freiermuth,27,TE,Hamstring,Questionable
Alfonzo Graham,27,RB,Undisclosed,IR
Pressley Harvin,27,P,Hamstring,Questionable
Cameron Heyward,27,DE,Groin,IR
Diontae Johnson,27,WR,Hamstring,IR-R
DeMarvin Leal,27,DE,Concussion,Questionable
Anthony McFarland,27,RB,Knee,IR
Dan Moore,27,OT,Knee,Questionable
Larry Ogunjobi,27,DT,Undisclosed,Questionable
Chapelle Russell,27,LB,Undisclosed,IR
Cory Trice,27,CB,Knee - ACL,IR
T.J. Watt,27,LB,Finger,Questionable
Renell Wren,27,DT,Undisclosed,IR
Coby Bryant,29,CB,Toe,IR
LaTrell Bumphus,29,DT,Undisclosed,IR
Artie Burns,29,CB,Hamstring,Questionable
Dee Eskridge,29,WR,Suspension,Reserve-Sus
Austin Faoliu,29,DT,Knee,PUP-R
Damien Lewis,29,OG,Ankle,Questionable
Abraham Lucas,29,OT,Knee,IR
Kenny McIntosh,29,RB,Knee,IR
Bryan Mone,29,DT,Knee - ACL,PUP-R
Mike Morris,29,DE,Shoulder,IR
Joshua Onujiogu,29,LB,Elbow,IR
Andrew Whitaker,29,CB,Knee,IR
Dareke Young,29,WR,Groin,IR
Robert Beal,28,DE,Hamstring,IR
Danny Gray,28,WR,Shoulder - AC Joint,IR
Dre Greenlaw,28,LB,Hamstring,Questionable
Cameron Latu,28,TE,Knee - Meniscus,IR
Darrell Luter,28,CB,Knee,PUP-R
Christian McCaffrey,28,RB,Oblique,Questionable
George Odum,28,S,Thigh,Questionable
Deebo Samuel,28,WR,Shoulder,Questionable
Trent Williams,28,OT,Ankle,Questionable
Samuel Womack,28,CB,Knee,IR
Chase Edmonds,30,RB,Knee - MCL,IR
Russell Gage,30,WR,Knee,IR
Ryan Jensen,30,C,Knee,IR
