Player,Team,Pos,Injury,Status
Chris Odom,FA,DE,Knee - ACL,Questionable
Sewo Olonilua,FA,FB,Neck,Questionable
Amani Oruwariye,FA,CB,Neck,Questionable
Joe Ostman,FA,DE,Undisclosed,Questionable
Tanner Owen,FA,OT,Illness,Questionable
Andrew Parchment,FA,WR,Undisclosed,Questionable
AJ Parker,FA,CB,Hamstring,Questionable
Brandon Parker,FA,OT,Undisclosed,Questionable
John Penisini,FA,DT,Undisclosed,Questionable
Jordan Perryman,FA,CB,Undisclosed,Questionable
Tautala Pesefea,FA,DT,Undisclosed,Questionable
Dante Pettis,FA,WR,Undisclosed,Questionable
La'Michael Pettway,FA,TE,Undisclosed,Questionable
Kevin Pierre-Louis,FA,LB,Groin,Questionable
Ross Pierschbacher,FA,C,Undisclosed,Questionable
Jared Pinkney,FA,TE,Undisclosed,Questionable
Quentin Poling,FA,LB,Undisclosed,Questionable
Elijah Ponder,FA,LB,Undisclosed,Questionable
Troymaine Pope,FA,RB,Undisclosed,Questionable
Monte Pottebaum,FA,FB,Undisclosed,Reserve-Ret
Austin Proehl,FA,WR,Undisclosed,Questionable
Brent Qvale,FA,OT,Undisclosed,Questionable
Trey Ragas,FA,RB,Undisclosed,Questionable
Reggie Ragland,FA,LB,Shoulder,Questionable
Charleston Rambo,FA,WR,Undisclosed,Questionable
Shane Ray,FA,DE,Hamstring,Questionable
Alex Redmond,FA,OG,Undisclosed,Questionable
Jalen Redmond,FA,DT,Undisclosed,Questionable
Sam Renner,FA,DT,Undisclosed,Questionable
Ross Reynolds,FA,OG,Undisclosed,Questionable
Curtis Riley,FA,S,Achilles,Questionable
Chauncey Rivers,FA,LB,Knee - ACL,Questionable
Tre Roberson,FA,CB,Concussion,Questionable
Rashard Robinson,FA,CB,Undisclosed,Questionable
Reggie Robinson,FA,CB,Undisclosed,Questionable
Bryce Rodgers,FA,DT,Undisclosed,Questionable
Richard Rodgers,FA,TE,Knee,Questionable
Aldrick Rosas,FA,K,Undisclosed,Questionable
Daniel Ross,FA,DT,Undisclosed,Questionable
John Ross,FA,WR,Undisclosed,Reserve-Ret
Bunmi Rotimi,FA,DE,Foot,Questionable
Christian Sam,FA,LB,Undisclosed,Questionable
Sam Schlueter,FA,OT,Illness,Questionable
Michael Schofield,FA,OG,Knee,Questionable
Anthony Schwartz,FA,WR,Hamstring,Questionable
Josiah Scott,FA,CB,Undisclosed,Out
Ricky Seals-Jones,FA,TE,Foot,Questionable
Adam Shaheen,FA,TE,Knee,Questionable
Liam Shanahan,FA,C,Undisclosed,Questionable
Tajae Sharpe,FA,WR,Undisclosed,Questionable
Tyler Shelvin,FA,DT,Undisclosed,Questionable
Darrius Shepherd,FA,WR,Undisclosed,Questionable
A.Q. Shipley,FA,C,Neck,Questionable
Lachavious Simmons,FA,OG,Undisclosed,Questionable
Tuzar Skipper,FA,LB,Undisclosed,Questionable
Ryan Smenda,FA,LB,Undisclosed,Questionable
Maurice Smith,FA,S,Undisclosed,Questionable
Ryan Smith,FA,CB,Suspension,Reserve-Sus
Saivion Smith,FA,S,Undisclosed,Questionable
Dylan Soehner,FA,TE,Undisclosed,Questionable
Diontae Spencer,FA,WR,Undisclosed,Questionable
Jeremy Sprinkle,FA,TE,Achilles,Questionable
DeAndre Square,FA,LB,Undisclosed,Questionable
Jayson Stanley,FA,CB,Knee,Questionable
Tyarise Stevenson,FA,DT,Shoulder - AC Joint,Questionable
Darius Stills,FA,DT,Undisclosed,Questionable
Eli Stove,FA,WR,Knee - ACL,Questionable
Chris Streveler,FA,QB,Thumb,Questionable
Nick Sundberg,FA,C,Elbow,Questionable
Keaton Sutherland,FA,OG,Abdomen,Questionable
