season,gameyear,gametypeid,week,day,date,time,network,awayteam,hometeam
2019,2019,2,16,Sun,Dec 22,8:20 PM,NBC,Chiefs,Bears
2019,2019,2,16,Mon,Dec 23,8:15 PM,ESPN,Packers,Vikings
2019,2019,2,17,Sun,Dec 29,1:00 PM,CBS,Steelers,Ravens
2019,2019,2,17,Sun,Dec 29,1:00 PM,CBS,Jets,Bills
2019,2019,2,17,Sun,Dec 29,1:00 PM,FOX,Falcons,Buccaneers
2019,2019,2,17,Sun,Dec 29,1:00 PM,FOX,Eagles,Giants
2019,2019,2,17,Sun,Dec 29,1:00 PM,FOX,Saints,Panthers
2019,2019,2,17,Sun,Dec 29,1:00 PM,CBS,Browns,Bengals
2019,2019,2,17,Sun,Dec 29,1:00 PM,FOX,Redskins,Cowboys
2019,2019,2,17,Sun,Dec 29,1:00 PM,FOX,Packers,Lions
2019,2019,2,17,Sun,Dec 29,1:00 PM,CBS,Titans,Texans
2019,2019,2,17,Sun,Dec 29,1:00 PM,CBS,Colts,Jaguars
2019,2019,2,17,Sun,Dec 29,1:00 PM,CBS,Chargers,Chiefs
2019,2019,2,17,Sun,Dec 29,1:00 PM,FOX,Bears,Vikings
2019,2019,2,17,Sun,Dec 29,1:00 PM,CBS,Dolphins,Patriots
2019,2019,2,17,Sun,Dec 29,4:25 PM,CBS,Raiders,Broncos
2019,2019,2,17,Sun,Dec 29,4:25 PM,FOX,Cardinals,Rams
2019,2019,2,17,Mon,Dec 29,4:25 PM,FOX,49ers,Seahawks
2019,2020,3,18,Sat,Jan 4,4:00 PM,Default,AFC WildCard 2,AFC Card 1
2019,2020,3,18,Sat,Jan 5,8:00 PM,Default,NFC WildCard 2,NFC Card 1
2019,2020,3,18,Sun,Jan 5,4:00 PM,Default,AFC WildCard 4,AFC WildCard 
2019,2020,3,18,Sun,Jan 5,8:00 PM,Default,NFC WildCard 4,NFC WildCard 
2019,2020,3,19,Sat,Jan 11,4:00 PM,Default,AFC Division 2,AFC sion 1
2019,2020,3,19,Sat,Jan 11,8:00 PM,Default,NFC Division 2,NFC sion 1
2019,2020,3,19,Sun,Jan 12,4:00 PM,Default,AFC Division 4,AFC sion 3
2019,2020,3,19,Sun,Jan 12,8:00 PM,Default,NFC Division 4,NFC sion 3
2019,2020,3,20,Sun,Jan 19,3:05 PM,CBS,AFC Champ 2,AFC Champ 1
2019,2020,3,20,Sun,Jan 19,6:40 PM,FOX,NFC Champ 2,NFC Champ 1
2019,2020,3,21,Sun,Feb 2,6:30 PM,FOX,AFC Champ,NFC Champ
