season,gametypeid,week,date,time,network,awayteam,hometeam
2019,2,11,11/14/19,8:20 PM,FOX,Steelers,Browns
2019,2,11,11/17/19,1:00 PM,FOX,Falcons,Panthers
2019,2,11,11/17/19,1:00 PM,FOX,Cowboys,Lions
2019,2,11,11/17/19,1:00 PM,CBS,Jaguars,Colts
2019,2,11,11/17/19,1:00 PM,CBS,Bills,Dolphins
2019,2,11,11/17/19,1:00 PM,CBS,Texans,Ravens
2019,2,11,11/17/19,1:00 PM,CBS,Broncos,Vikings
2019,2,11,11/17/19,1:00 PM,CBS,Jets,Redskins
2019,2,11,11/17/19,1:00 PM,FOX,Saints,Buccaneers
2019,2,11,11/17/19,4:05 PM,CBS,Cardinals,49ers
2019,2,11,11/17/19,4:25 PM,CBS,Bengals,Raiders
2019,2,11,11/17/19,4:25 PM,CBS,Patriots,Eagles
2019,2,11,11/17/19,8:20 PM,NBC,Bears,Rams
2019,2,11,11/18/19,8:15 PM,ESPN,Chiefs,Chargers
2019,2,12,11/21/19,8:20 PM,FOX,Colts,Texans
2019,2,12,11/24/19,1:00 PM,CBS,Broncos,Bills
2019,2,12,11/24/19,1:00 PM,FOX,Giants,Bears
2019,2,12,11/24/19,1:00 PM,CBS,Steelers,Bengals
2019,2,12,11/24/19,1:00 PM,CBS,Dolphins,Browns
2019,2,12,11/24/19,1:00 PM,FOX,Buccaneers,Falcons
2019,2,12,11/24/19,1:00 PM,FOX,Panthers,Saints
2019,2,12,11/24/19,1:00 PM,FOX,Lions,Redskins
2019,2,12,11/24/19,1:00 PM,CBS,Raiders,Jets
2019,2,12,11/24/19,4:05 PM,CBS,Jaguars,Titans
2019,2,12,11/24/19,4:25 PM,FOX,Cowboys,Patriots
2019,2,12,11/24/19,4:25 PM,FOX,Packers,49ers
2019,2,12,11/24/19,8:20 PM,NBC,Seahawks,Eagles
2019,2,12,11/25/19,8:15 PM,ESPN,Ravens,Rams
2019,2,13,11/28/19,12:30 PM,FOX,Bears,Lions
2019,2,13,11/28/19,4:30 PM,CBS,Bills,Cowboys
2019,2,13,11/28/19,8:20 PM,NBC,Saints,Falcons
2019,2,13,12/1/19,1:00 PM,CBS,Titans,Colts
2019,2,13,12/1/19,1:00 PM,CBS,Jets,Bengals
2019,2,13,12/1/19,1:00 PM,CBS,Redskins,Panthers
2019,2,13,12/1/19,1:00 PM,FOX,49ers,Ravens
2019,2,13,12/1/19,1:00 PM,FOX,Buccaneers,Jaguars
2019,2,13,12/1/19,1:00 PM,FOX,Packers,Giants
2019,2,13,12/1/19,1:00 PM,FOX,Eagles,Dolphins
2019,2,13,12/1/19,1:00 PM,CBS,Raiders,Chiefs
2019,2,13,12/1/19,4:05 PM,FOX,Rams,Cardinals
2019,2,13,12/1/19,4:25 PM,CBS,Browns,Steelers
2019,2,13,12/1/19,4:25 PM,CBS,Chargers,Broncos
2019,2,13,12/1/19,8:20 PM,NBC,Patriots,Texans
2019,2,13,12/2/19,8:15 PM,ESPN,Vikings,Seahawks
2019,2,14,12/5/19,8:20 PM,FOX,Cowboys,Bears
2019,2,14,12/8/19,1:00 PM,FOX,Panthers,Falcons
2019,2,14,12/8/19,1:00 PM,CBS,Colts,Buccaneers
2019,2,14,12/8/19,1:00 PM,CBS,Dolphins,Jets
2019,2,14,12/8/19,1:00 PM,FOX,49ers,Saints
2019,2,14,12/8/19,1:00 PM,FOX,Lions,Vikings
2019,2,14,12/8/19,1:00 PM,CBS,Broncos,Texans
2019,2,14,12/8/19,1:00 PM,CBS,Ravens,Bills
2019,2,14,12/8/19,1:00 PM,CBS,Bengals,Browns
2019,2,14,12/8/19,1:00 PM,FOX,Redskins,Packers
2019,2,14,12/8/19,4:05 PM,FOX,Chargers,Jaguars
2019,2,14,12/8/19,4:25 PM,CBS,Steelers,Cardinals
2019,2,14,12/8/19,4:25 PM,CBS,Titans,Raiders
2019,2,14,12/8/19,4:25 PM,CBS,Chiefs,Patriots
2019,2,14,12/8/19,8:20 PM,NBC,Seahawks,Rams
2019,2,14,12/9/19,8:15 PM,ESPN,Giants,Eagles
2019,2,15,12/12/19,8:20 PM,FOX,Jets,Ravens
2019,2,15,12/15/19,1:00 PM,FOX,Seahawks,Panthers
2019,2,15,12/15/19,1:00 PM,FOX,Eagles,Redskins
2019,2,15,12/15/19,1:00 PM,CBS,Texans,Titans
2019,2,15,12/15/19,1:00 PM,CBS,Bills,Steelers
2019,2,15,12/15/19,1:00 PM,CBS,Dolphins,Giants
2019,2,15,12/15/19,1:00 PM,CBS,Broncos,Chiefs
2019,2,15,12/15/19,1:00 PM,CBS,Patriots,Bengals
2019,2,15,12/15/19,1:00 PM,FOX,Buccaneers,Lions
2019,2,15,12/15/19,1:00 PM,FOX,Bears,Packers
2019,2,15,12/15/19,4:05 PM,CBS,Jaguars,Raiders
2019,2,15,12/15/19,4:05 PM,CBS,Browns,Cardinals
2019,2,15,12/15/19,4:25 PM,FOX,Falcons,49ers
2019,2,15,12/15/19,4:25 PM,FOX,Rams,Cowboys
2019,2,15,12/15/19,8:20 PM,NBC,Vikings,Chargers
2019,2,15,12/16/19,8:15 PM,ESPN,Colts,Saints
2019,2,16,12/21/19,8:20 PM,Default,Lions,Broncos
2019,2,16,12/22/19,1:00 PM,Default,Raiders,Chargers
2019,2,16,12/22/19,1:00 PM,FOX,Giants,Redskins
2019,2,16,12/22/19,1:00 PM,FOX,Saints,Titans
2019,2,16,12/22/19,1:00 PM,CBS,Steelers,Jets
2019,2,16,12/22/19,1:00 PM,Default,Bills,Patriots
2019,2,16,12/22/19,1:00 PM,Default,Rams,49ers
2019,2,16,12/22/19,1:00 PM,FOX,Texans,Buccaneers
2019,2,16,12/22/19,1:00 PM,FOX,Jaguars,Falcons
