season,gametypeid,week,date,awayteam,hometeam,network,time
2022,2,8,10/30/2022,Commanders,Colts,FOX,4:25 PM
2022,2,8,10/30/2022,49ers,Rams,FOX,4:25 PM
2022,2,8,10/30/2022,Giants,Seahawks,FOX,4:25 PM
2022,2,8,10/30/2022,Packers,Bills,NBC,8:20 PM
2022,2,8,10/31/2022,Bengals,Browns,ESPN,8:15 PM
2022,2,9,11/3/2022,Eagles,Texans,Amazon,8:15 PM
2022,2,9,11/6/2022,Chargers,Falcons,FOX,1:00 PM
2022,2,9,11/6/2022,Dolphins,Bears,CBS,1:00 PM
2022,2,9,11/6/2022,Panthers,Bengals,FOX,1:00 PM
2022,2,9,11/6/2022,Packers,Lions,FOX,1:00 PM
2022,2,9,11/6/2022,Raiders,Jaguars,CBS,1:00 PM
2022,2,9,11/6/2022,Colts,Patriots,CBS,1:00 PM
2022,2,9,11/6/2022,Bills,Jets,CBS,1:00 PM
2022,2,9,11/6/2022,Vikings,Commanders,FOX,1:00 PM
2022,2,9,11/6/2022,Seahawks,Cardinals,FOX,4:05 PM
2022,2,9,11/6/2022,Rams,Buccaneers,CBS,4:25 PM
2022,2,9,11/6/2022,Titans,Chiefs,NBC,8:20 PM
2022,2,9,11/7/2022,Ravens,Saints,ESPN,8:15 PM
2022,2,10,11/10/2022,Falcons,Panthers,Amazon,8:15 PM
2022,2,10,11/13/2022,Seahawks,Buccaneers,NFL,9:30 AM
2022,2,10,11/13/2022,Vikings,Bills,FOX,1:00 PM
2022,2,10,11/13/2022,Lions,Bears,FOX,1:00 PM
2022,2,10,11/13/2022,Jaguars,Chiefs,CBS,1:00 PM
2022,2,10,11/13/2022,Browns,Dolphins,CBS,1:00 PM
2022,2,10,11/13/2022,Texans,Giants,CBS,1:00 PM
2022,2,10,11/13/2022,Broncos,Titans,FOX,1:00 PM
2022,2,10,11/13/2022,Saints,Steelers,CBS,1:00 PM
2022,2,10,11/13/2022,Colts,Raiders,CBS,4:05 PM
2022,2,10,11/13/2022,Cowboys,Packers,FOX,4:25 PM
2022,2,10,11/13/2022,Cardinals,Rams,FOX,4:25 PM
2022,2,10,11/13/2022,Chargers,49ers,NBC,8:20 PM
2022,2,10,11/14/2022,Commanders,Eagles,ESPN,8:15 PM
2022,2,11,11/17/2022,Titans,Packers,Amazon,8:15 PM
2022,2,11,11/20/2022,Bears,Falcons,FOX,1:00 PM
2022,2,11,11/20/2022,Browns,Bills,FOX,1:00 PM
2022,2,11,11/20/2022,Eagles,Colts,CBS,1:00 PM
2022,2,11,11/20/2022,Commanders,Texans,FOX,1:00 PM
2022,2,11,11/20/2022,Rams,Saints,CBS,1:00 PM
2022,2,11,11/20/2022,Jets,Patriots,CBS,1:00 PM
2022,2,11,11/20/2022,Lions,Giants,FOX,1:00 PM
2022,2,11,11/20/2022,Panthers,Ravens,FOX,1:00 PM
2022,2,11,11/20/2022,Raiders,Broncos,FOX,4:05 PM
2022,2,11,11/20/2022,Cowboys,Vikings,CBS,4:25 PM
2022,2,11,11/20/2022,Chiefs,Chargers,CBS,4:25 PM
2022,2,11,11/20/2022,Bengals,Steelers,NBC,8:20 PM
2022,2,11,11/21/2022,49ers,Cardinals,ESPN,8:15 PM
2022,2,12,11/24/2022,Bills,Lions,CBS,12:30 PM
2022,2,12,11/24/2022,Giants,Cowboys,FOX,4:30 PM
2022,2,12,11/24/2022,Patriots,Vikings,NBC,8:20 PM
2022,2,12,11/27/2022,Broncos,Panthers,FOX,1:00 PM
2022,2,12,11/27/2022,Buccaneers,Browns,FOX,1:00 PM
2022,2,12,11/27/2022,Ravens,Jaguars,CBS,1:00 PM
2022,2,12,11/27/2022,Texans,Dolphins,CBS,1:00 PM
2022,2,12,11/27/2022,Bears,Jets,FOX,1:00 PM
2022,2,12,11/27/2022,Bengals,Titans,CBS,1:00 PM
2022,2,12,11/27/2022,Falcons,Commanders,FOX,1:00 PM
2022,2,12,11/27/2022,Chargers,Cardinals,CBS,4:05 PM
2022,2,12,11/27/2022,Raiders,Seahawks,CBS,4:05 PM
2022,2,12,11/27/2022,Rams,Chiefs,FOX,4:25 PM
2022,2,12,11/27/2022,Saints,49ers,FOX,4:25 PM
2022,2,12,11/27/2022,Packers,Eagles,NBC,8:20 PM
2022,2,12,11/28/2022,Steelers,Colts,ESPN,8:15 PM
2022,2,13,12/1/2022,Bills,Patriots,Amazon,8:15 PM
2022,2,13,12/4/2022,Steelers,Falcons,CBS,1:00 PM
2022,2,13,12/4/2022,Packers,Bears,CBS,1:00 PM
2022,2,13,12/4/2022,Jaguars,Lions,FOX,1:00 PM
2022,2,13,12/4/2022,Browns,Texans,FOX,1:00 PM
2022,2,13,12/4/2022,Jets,Vikings,CBS,1:00 PM
2022,2,13,12/4/2022,Commanders,Giants,CBS,1:00 PM
2022,2,13,12/4/2022,Titans,Eagles,FOX,1:00 PM
2022,2,13,12/4/2022,Broncos,Ravens,FOX,1:00 PM
2022,2,13,12/4/2022,Seahawks,Rams,FOX,4:05 PM
2022,2,13,12/4/2022,Dolphins,49ers,FOX,4:05 PM
2022,2,13,12/4/2022,Chiefs,Bengals,CBS,4:25 PM
2022,2,13,12/4/2022,Chargers,Raiders,CBS,4:25 PM
2022,2,13,12/4/2022,Colts,Cowboys,NBC,8:20 PM
2022,2,13,12/5/2022,Saints,Buccaneers,ESPN,8:15 PM
2022,2,14,12/8/2022,Raiders,Rams,Amazon,8:15 PM
2022,2,14,12/11/2022,Jets,Bills,CBS,1:00 PM
2022,2,14,12/11/2022,Browns,Bengals,CBS,1:00 PM
2022,2,14,12/11/2022,Texans,Cowboys,FOX,1:00 PM
2022,2,14,12/11/2022,Vikings,Lions,FOX,1:00 PM
2022,2,14,12/11/2022,Eagles,Giants,FOX,1:00 PM
2022,2,14,12/11/2022,Jaguars,Titans,CBS,1:00 PM
2022,2,14,12/11/2022,Ravens,Steelers,CBS,1:00 PM
2022,2,14,12/11/2022,Dolphins,Chargers,CBS,4:05 PM
2022,2,14,12/11/2022,Panthers,Seahawks,FOX,4:25 PM
2022,2,14,12/11/2022,Buccaneers,49ers,FOX,4:25 PM
2022,2,14,12/11/2022,Chiefs,Broncos,NBC,8:20 PM
2022,2,14,12/12/2022,Patriots,Cardinals,ESPN,8:15 PM
2022,2,15,12/15/2022,49ers,Seahawks,Amazon,8:15 PM
2022,2,15,12/18/2022,Dolphins,Bills,CBS,1:00 PM
2022,2,15,12/18/2022,Steelers,Panthers,CBS,1:00 PM
2022,2,15,12/18/2022,Eagles,Bears,CBS,1:00 PM
2022,2,15,12/18/2022,Ravens,Browns,CBS,1:00 PM
2022,2,15,12/18/2022,Chiefs,Texans,CBS,1:00 PM
2022,2,15,12/18/2022,Cowboys,Jaguars,CBS,1:00 PM
2022,2,15,12/18/2022,Colts,Vikings,FOX,1:00 PM
2022,2,15,12/18/2022,Falcons,Saints,CBS,1:00 PM
2022,2,15,12/18/2022,Lions,Jets,FOX,1:00 PM
2022,2,15,12/18/2022,Giants,Commanders,FOX,1:00 PM
2022,2,15,12/18/2022,Cardinals,Broncos,FOX,4:05 PM
2022,2,15,12/18/2022,Titans,Chargers,CBS,4:25 PM
2022,2,15,12/18/2022,Bengals,Buccaneers,CBS,4:25 PM
2022,2,15,12/18/2022,Patriots,Raiders,NBC,8:20 PM
2022,2,15,12/19/2022,Rams,Packers,ESPN,8:15 PM
2022,2,16,12/22/2022,Jaguars,Jets,Amazon,8:15 PM
2022,2,16,12/24/2022,Lions,Panthers,FOX,1:00 PM
2022,2,16,12/24/2022,Bills,Bears,FOX,1:00 PM
2022,2,16,12/24/2022,Saints,Browns,CBS,1:00 PM
2022,2,16,12/24/2022,Seahawks,Chiefs,CBS,1:00 PM
2022,2,16,12/24/2022,Giants,Vikings,FOX,1:00 PM
2022,2,16,12/24/2022,Bengals,Patriots,FOX,1:00 PM
2022,2,16,12/24/2022,Texans,Titans,CBS,1:00 PM
2022,2,16,12/24/2022,Falcons,Ravens,CBS,1:00 PM
2022,2,16,12/24/2022,Commanders,49ers,CBS,4:05 PM
2022,2,16,12/24/2022,Eagles,Cowboys,FOX,4:25 PM
2022,2,16,12/24/2022,Raiders,Steelers,NFL,8:15 PM
2022,2,16,12/25/2022,Packers,Dolphins,FOX,1:00 PM
2022,2,16,12/25/2022,Broncos,Rams,CBS,4:30 PM
2022,2,16,12/25/2022,Buccaneers,Cardinals,NBC,8:20 PM
2022,2,16,12/26/2022,Chargers,Colts,ESPN,8:15 PM
2022,2,17,12/29/2022,Cowboys,Titans,Amazon,8:15 PM
2022,2,17,1/1/2023,Cardinals,Falcons,FOX,1:00 PM
2022,2,17,1/1/2023,Bears,Lions,CBS,1:00 PM
2022,2,17,1/1/2023,Jaguars,Texans,FOX,1:00 PM
2022,2,17,1/1/2023,Broncos,Chiefs,CBS,1:00 PM
2022,2,17,1/1/2023,Dolphins,Patriots,CBS,1:00 PM
2022,2,17,1/1/2023,Colts,Giants,CBS,1:00 PM
2022,2,17,1/1/2023,Saints,Eagles,CBS,1:00 PM
2022,2,17,1/1/2023,Steelers,Ravens,FOX,1:00 PM
2022,2,17,1/1/2023,Panthers,Buccaneers,FOX,1:00 PM
2022,2,17,1/1/2023,Browns,Commanders,FOX,1:00 PM
2022,2,17,1/1/2023,49ers,Raiders,FOX,4:05 PM
2022,2,17,1/1/2023,Jets,Seahawks,FOX,4:05 PM
2022,2,17,1/1/2023,Vikings,Packers,CBS,4:25 PM
2022,2,17,1/1/2023,Rams,Chargers,NBC,8:20 PM
2022,2,17,1/2/2023,Bills,Bengals,ESPN,8:30 PM
2022,2,18,1/8/2023,Buccaneers,Falcons,Amazon,1:00 PM
2022,2,18,1/8/2023,Patriots,Bills,FOX,1:00 PM
2022,2,18,1/8/2023,Vikings,Bears,CBS,1:00 PM
2022,2,18,1/8/2023,Ravens,Bengals,FOX,1:00 PM
2022,2,18,1/8/2023,Texans,Colts,CBS,1:00 PM
