Player,Team,Pos,Injury,Status
Jaylon Johnson,23,CB,Groin,IR
Lonnie Johnson,15,S,Leg,IR-R
Nazeeh Johnson,16,CB,Shoulder,IR-R
Cameron Johnston,3,P,Foot,IR
Aaron Jones,21,RB,Hamstring,IR-R
Cam Jones,2,LB,Hip,Questionable
Christian Jones,31,OT,Knee,IR-R
DaQuan Jones,3,DT,Calf,Questionable
Dawand Jones,7,OT,Knee,IR
Emery Jones,8,OG,Shoulder - Labrum,NFI-R
Emory Jones,26,QB,Concussion,IR
Jamarco Jones,22,OT,Achilles,IR
Jaylon Jones,12,CB,Hamstring,IR
Justin Jones,31,DT,Knee,IR
Patrick Jones,25,LB,Back,IR
Rob Jones,19,OG,Neck,IR
Brevin Jordan,10,TE,Knee,IR
Kerby Joseph,22,S,Knee,Questionable
Cam Jurgens,17,C,Knee,Questionable
Calijah Kancey,28,DT,Pectoral,IR
Trevor Keegan,19,OG,Neck,IR
Ryan Kelly,21,C,Concussion,IR
Anthony Kendall,7,CB,Undisclosed,IR
Donte Kent,6,CB,Foot,IR
Arden Key,9,LB,Quadriceps,Questionable
Ko Kieft,28,TE,Leg,IR
Miles Killebrew,6,S,Knee,IR
Dalton Kincaid,3,TE,Oblique,Questionable
Kamren Kinchens,32,S,Toe,Questionable
Christian Kirk,10,WR,Hamstring,Questionable
Cole Kmet,23,TE,Back,Questionable
Marshawn Kneeland,19,DE,Ankle,Questionable
Kader Kohou,1,CB,Knee - ACL,IR
Bilhal Kone,8,CB,Knee,IR
Lucas Krull,13,TE,Foot,IR
Brock Lampe,4,RB,Undisclosed,IR
Willie Lampkin,17,C,Leg,IR
Lan Larison,4,RB,Foot,IR
Deane Leonard,14,CB,Leg,IR-R
Will Levis,9,QB,Shoulder,IR
Damien Lewis,25,OG,Shoulder,Questionable
Tyquan Lewis,12,DE,Groin,Questionable
Devin Lloyd,11,LB,Calf,Questionable
MarShawn Lloyd,24,RB,Hamstring,IR-R
Robert Longerbeam,8,CB,Knee,IR
Isaiahh Loudermilk,6,DE,Ankle,IR
Julian Love,29,S,Hamstring,Questionable
Dean Lowry,6,DE,Knee,IR
Avonte Maddox,22,CB,Hamstring,Questionable
Nnamdi Madubuike,8,DT,Neck,IR
Phil Mafah,19,RB,Shoulder,IR
Jason Maitre,1,CB,Undisclosed,IR
Giovanni Manu,22,OT,Knee,IR
Jason Marshall,1,CB,Hamstring,IR
Tyrann Mathieu,27,S,Undisclosed,Reserve-Ret
Damarri Mathis,25,CB,Knee - ACL,IR
