Player,Team,Pos,Injury,Status
Grady Jarrett,26,DT,Knee - ACL,IR
Justin Jefferson,21,WR,Hamstring,IR-R
Elgton Jenkins,24,OG,Knee,Questionable
Nash Jensen,25,OG,Coach's Decision,Inactive
Ryan Jensen,28,C,Knee,IR
Brandon Johnson,13,WR,Hamstring,IR
Jakob Johnson,15,FB,Concussion,Questionable
Nazeeh Johnson,16,S,Knee - ACL,IR
Roderick Johnson,17,OT,Undisclosed,IR
Aaron Jones,24,RB,Hamstring,Questionable
Brandon Jones,1,S,Concussion,Questionable
Charlie Jones,5,WR,Thumb,IR-R
Daniel Jones,20,QB,Knee - ACL,IR
DaQuan Jones,3,DT,Pectoral,IR
Dawand Jones,7,OT,Knee,Out
Ernest Jones,32,LB,Knee,Questionable
Jonathan Jones,4,CB,Knee,Questionable
Marcus Jones,4,CB,Shoulder,IR
Robert Jones,1,OG,Knee,Questionable
Velus Jones,23,WR,Coach's Decision,Inactive
Zay Jones,11,WR,Knee,Questionable
Brevin Jordan,10,TE,Foot,Questionable
Matthew Judon,4,LB,Biceps,IR
Gregory Junior,11,CB,Hamstring,IR-R
Cam Jurgens,17,OG,Foot,IR-R
Calijah Kancey,28,DT,Quadriceps,Questionable
Anthony Kendall,9,CB,Hamstring,Questionable
A.J. Klein,3,LB,Back,Questionable
Zonovan Knight,22,RB,Shoulder,IR
Malik Knowles,21,WR,Undisclosed,NFI-R
Dawson Knox,3,TE,Wrist,IR
Jordan Kunaszyk,7,LB,Knee - MCL,IR
William Kwenkeu,21,LB,Undisclosed,IR
Cameron Latu,30,TE,Knee - Meniscus,IR
Raheem Layne,14,S,Knee - ACL,IR
Allen Lazard,2,WR,Knee,Questionable
Shane Lemieux,20,OG,Biceps,IR
Matt Leo,17,DE,Undisclosed,Reserve-Ret
Titus Leo,12,DE,Undisclosed,IR
Corey Linsley,14,C,Illness,NFI-R
LaCale London,26,DE,Knee,IR
Hunter Long,32,TE,Hamstring,IR-R
Vederian Lowe,4,OT,Ankle,Questionable
Dean Lowry,21,DE,Groin,Questionable
Abraham Lucas,29,OT,Knee,IR
Darrell Luter,30,CB,Knee,PUP-R
James Lynch,21,DT,Knee - ACL,IR
Marlon Mack,31,RB,Achilles,IR
Avonte Maddox,17,CB,Pectoral,IR
Luke Masterson,15,LB,Concussion,Questionable
Jesse Matthews,10,WR,Knee - ACL,IR
Kana'i Mauga,15,LB,Knee,IR
Devonnsha Maxwell,5,DT,Knee,IR
Connor McGovern,2,C,Knee,IR
Kenny McIntosh,29,RB,Knee,IR-R
Kyler McMichael,31,CB,Undisclosed,IR
Raekwon McMillan,4,LB,Achilles,IR
Zech McPhearson,17,CB,Achilles,IR
DK Metcalf,29,WR,Hip,Questionable
Sony Michel,32,RB,Undisclosed,Reserve-Ret
Matt Milano,3,LB,Leg,IR
Kendre Miller,27,RB,Ankle,Questionable
Kolton Miller,15,OT,Shoulder,Questionable
Ventrell Miller,11,LB,Achilles,IR
Dax Milne,18,WR,Groin,IR
Cameron Mitchell,7,CB,Hamstring,IR
Keaton Mitchell,8,RB,Hamstring,Questionable
Bryan Mone,29,DT,Knee - ACL,PUP-R
Jaylon Moore,11,WR,Undisclosed,IR
Nick Moore,8,C,Achilles,NFI-R
Mike Morris,29,DE,Shoulder,IR
Emmanuel Moseley,22,CB,Knee - ACL,IR
Trayvon Mullen,8,CB,Toe,NFI-R
Nick Mullens,21,QB,Back,IR
Johnny Mundt,21,TE,Knee,Questionable
Thayer Munford,15,OG,Neck,Questionable
Sean Murphy-Bunting,9,CB,Thumb,Doubtful
Eric Murray,10,S,Knee,IR
Chris Myarick,20,FB,Hand,IR
Josh Myers,24,C,Knee,Questionable
Evan Neal,20,OT,Ankle,Out
Matt Nelson,22,OT,Ankle,IR
Steven Nelson,10,CB,Back,Questionable
Greg Newsome,7,CB,Groin,Questionable
Yosh Nijman,24,OT,Back,Questionable
Tre Nixon,4,WR,Shoulder,IR
David Njoku,7,TE,Knee,Questionable
Uchenna Nwosu,29,LB,Pectoral,IR
Carter O'Donnell,31,OG,Ankle,Questionable
Ifeadi Odenigbo,2,DE,Undisclosed,IR
Osa Odighizuwa,19,DT,Hamstring,Questionable
Drew Ogletree,12,TE,Foot,Out
Adetokunbo Ogundeji,26,LB,Foot,IR
David Ojabo,8,LB,Ankle,IR
Azeez Ojulari,20,LB,Ankle,IR-R
Ogbonnia Okoronkwo,7,DE,Groin,Questionable
Joshua Onujiogu,29,LB,Elbow,IR
Levi Onwuzurike,22,DT,Hip,Questionable
David Onyemata,26,DT,Ankle,Questionable
K.J. Osborn,21,WR,Concussion,Questionable
DeMarvion Overshown,19,LB,Knee - ACL,IR
Alex Palczewski,13,OT,Hand,IR
Joshua Palmer,14,WR,Knee,IR
Trey Palmer,28,WR,Neck,Questionable
DeVante Parker,4,WR,Concussion,Out
Colby Parkinson,29,TE,Biceps,Questionable
Tim Patrick,13,WR,Achilles,IR
Jarrett Patterson,10,C,Lower Leg,IR
Matt Peart,20,OT,Shoulder,IR
Donovan Peoples-Jones,22,WR,Ribs,Questionable
Marcus Peters,15,CB,Knee,Questionable
Nicholas Petit-Frere,9,OT,Shoulder,Out
Jacob Phillips,7,LB,Pectoral,IR
Alec Pierce,12,WR,Ankle,Questionable
Dameon Pierce,10,RB,Ankle,Questionable
Michael Pierce,8,DT,Illness,Questionable
Danny Pinter,12,C,Ankle,IR
Jordan Poyer,3,S,Leg,Questionable
Adam Prentice,27,FB,Knee,IR-R
Bobby Price,31,CB,Undisclosed,IR
Scott Quessenberry,10,C,Knee - ACL + MCL,IR
Teagan Quitoriano,10,TE,Groin,IR
Jeremy Reaves,18,S,Knee - ACL,IR
Chris Reed,21,OG,Foot,NFI-R
Joe Reed,23,WR,Undisclosed,IR
Riley Reiff,4,OG,Knee,IR
Nikko Remigio,16,WR,Wrist,IR
Sammis Reyes,11,TE,Concussion,Reserve-Ret
Giovanni Ricci,25,TE,Shoulder,IR
Anthony Richardson,12,QB,Shoulder - AC Joint,IR
Hassan Ridgeway,10,DT,Achilles,IR
Ronnie Rivers,32,RB,Knee - PCL,IR
Elandon Roberts,6,LB,Knee,Questionable
Aaron Robinson,20,CB,Knee - ACL + MCL,PUP-R
Dominique Robinson,23,DE,Coach's Decision,Inactive
Bradley Roby,17,CB,Shoulder,Questionable
Aaron Rodgers,2,QB,Achilles,IR
Isaiah Rodgers,17,CB,Suspension,Reserve-Sus
Armani Rogers,18,TE,Achilles,IR
Justyn Ross,16,WR,Personal,Reserve-CEL
Jeremy Ruckert,2,TE,Shoulder,Questionable
Jon Runyan,24,OG,Neck,Questionable
Chapelle Russell,6,LB,Undisclosed,IR
Curtis Samuel,18,WR,Toe,Questionable
Myjai Sanders,10,DE,Knee,Questionable
Darnell Savage,24,S,Calf,IR
DJ Scaife,10,OT,Leg,IR
Wes Schweitzer,2,C,Calf,IR
Daniel Scott,12,S,Knee - ACL,IR
Juice Scruggs,10,C,Hamstring,IR
Brandon Shell,3,OT,Undisclosed,Reserve-Ret
Laviska Shenault,25,WR,Ankle,Inactive
Justin Shorter,3,WR,Hamstring,IR
Dan Skipper,22,OT,Ribs,Questionable
Terell Smith,23,CB,Illness,Inactive
Tyron Smith,19,OT,Illness,Questionable
Baylon Spector,3,LB,Hamstring,Questionable
Matthew Stafford,32,QB,Thumb,Questionable
Taylor Stallworth,9,DT,Undisclosed,IR
John Stephens,19,TE,Knee - ACL,IR
Caden Sterns,13,S,Knee,IR
Grover Stewart,12,DT,Suspension,Reserve-Sus
M.J. Stewart,10,S,Shoulder,IR
Derek Stingley,10,CB,Hamstring,IR-R
Eric Stokes,24,CB,Hamstring,IR
Ricky Stromberg,18,OG,Knee,IR
Pierre Strong,7,RB,Hamstring,Questionable
Nate Sudfeld,22,QB,Knee - ACL,IR
Stephen Sullivan,25,TE,Shoulder,Inactive
Chazz Surratt,2,LB,Ankle,Questionable
Geoff Swaim,31,TE,Back,Questionable
Tommy Sweeney,20,TE,Undisclosed,NFI-R
Ryan Tannehill,9,QB,Ankle,Questionable
Jason Taylor,32,S,Groin,IR
Leonard Taylor,11,TE,Undisclosed,IR
Tyrod Taylor,20,QB,Ribs,IR
Roderic Teamer,15,S,Hamstring,IR
Luke Tenuta,24,OT,Ankle,IR
Andrew Thomas,20,OT,Hamstring,Questionable
Daniel Thomas,11,S,Hamstring,Questionable
Drake Thomas,29,LB,Knee,IR
Ian Thomas,25,TE,Calf,IR
Shaq Thompson,25,LB,Lower Leg,IR
Henry To'oTo'o,10,LB,Concussion,Questionable
Shaka Toney,18,DE,Suspension,Reserve-Sus
Andrew Trainer,14,OT,Undisclosed,IR
Cory Trice,6,CB,Knee - ACL,IR
Laremy Tunsil,10,OT,Knee,Questionable
Josh Tupou,5,DT,Shoulder,Questionable
Billy Turner,2,OT,Finger,Out
Ezekiel Turner,31,LB,Hamstring,Questionable
Payton Turner,27,DE,Toe,IR
Trai Turner,27,OG,Quadriceps,IR
KaVontae Turpin,19,WR,Shoulder,Questionable
Olisaemeka Udoh,21,OT,Quadriceps,IR
Eyioma Uwazurike,13,DT,Suspension,Reserve-Sus
AJ Uzodinma,14,CB,Undisclosed,IR
Halapoulivaati Vaitai,22,OG,Back,Questionable
Greg Van Roten,15,OG,Biceps,Questionable
Zeke Vandenburgh,1,LB,Undisclosed,IR
Leighton Vander Esch,19,LB,Neck,IR
Alijah Vera-Tucker,2,OG,Achilles,IR
Luiji Vilain,25,LB,Knee,IR
Jalen Virgil,13,WR,Knee - Meniscus,IR
Andrew Vorhees,8,OG,Knee - ACL,NFI-R
Jaylen Waddle,1,WR,Knee,Questionable
Dalton Wagner,15,OT,Undisclosed,IR
Matt Waletzko,19,OT,Shoulder,IR
Quay Walker,24,LB,Groin,Questionable
Darren Waller,20,TE,Hamstring,IR
Austin Walter,15,RB,Undisclosed,IR
Prince Tega Wanogho,16,OT,Quadriceps,IR
Jimmie Ward,10,S,Hamstring,Questionable
Ar'Darius Washington,8,CB,Chest,IR
Parker Washington,11,WR,Knee,IR
Carlos Watkins,31,DT,Biceps,IR
Quez Watkins,17,WR,Hamstring,IR
Tyrone Wheatley,4,OT,Knee,IR
Andrew Whitaker,29,CB,Knee,IR
Drew White,18,LB,Knee,PUP-R
Tre'Davious White,3,CB,Achilles,IR
Elijah Wilkinson,31,OG,Neck,IR
Avery Williams,26,RB,Knee - ACL,IR
Damarion Williams,8,CB,Ankle,IR
K'Waun Williams,13,CB,Ankle,IR
Kyren Williams,32,RB,Ankle,IR
Mike Williams,14,WR,Knee - ACL,IR
Quincy Williams,2,LB,Knee,Questionable
Trent Williams,30,OT,Ankle,Questionable
Jedrick Wills,7,OT,Knee - MCL,IR
Michael Wilson,31,WR,Shoulder,Questionable
Deatrich Wise,4,DE,Shoulder,Questionable
Jake Witt,12,OT,Hip,IR
Samuel Womack,30,CB,Knee - MCL,IR-R
Al Woods,2,DT,Achilles,IR
Jelani Woods,12,TE,Hamstring,IR
JT Woods,14,S,Illness,NFI-R
Michael Woods,7,WR,Achilles,NFI-R
Robert Woods,10,WR,Foot,Questionable
Chandler Wooten,25,LB,Ankle,IR
Renell Wren,6,DT,Undisclosed,IR
Alex Wright,7,DE,Knee,Questionable
Isaiah Wynn,1,OT,Quadriceps,IR
Kenny Yeboah,2,TE,Hamstring,IR
Dareke Young,29,WR,Groin,IR-R
Kilian Zierer,10,OT,Ankle,IR
Jabari Zuniga,27,DE,Undisclosed,Reserve-Ret
Shane Zylstra,22,TE,Knee,IR
