Player,Team,Pos,Injury,Status
Christian Mahogany,22,OG,Lower Leg,Questionable
Patrick Mahomes,16,QB,Knee - ACL,IR
Jason Maitre,1,CB,Undisclosed,IR
DeAngelo Malone,26,LB,Ankle,IR
Giovanni Manu,22,OT,Knee,IR-R
Marcus Mariota,18,QB,Hand,Questionable
Nick Martin,30,LB,Concussion,IR
Jordan Mason,21,RB,Ankle,Questionable
Tyrann Mathieu,27,S,Undisclosed,Reserve-Ret
Damarri Mathis,25,CB,Knee - ACL,IR
Alexander Mattison,1,RB,Neck,IR
Cody Mauch,28,OG,Knee,IR
Francisco Mauigoa,2,LB,Neck,Questionable
Luke McCaffrey,18,WR,Collarbone,IR
J.J. McCarthy,21,QB,Hand,Out
Zyon McCollum,28,CB,Hip,IR
Erik McCoy,27,C,Biceps,IR
Marcelino McCrary-Ball,2,LB,Hamstring,IR
Roger McCreary,32,CB,Hip,IR
Trent McDuffie,16,CB,Knee,Questionable
Micah McFadden,20,LB,Foot,IR
Kaleb McGary,26,OT,Leg,IR
Kenny McIntosh,29,RB,Knee - ACL,IR
Jalen McLeod,11,LB,Ankle,IR-R
Alim McNeill,22,DT,Abdomen,Questionable
Bub Means,27,WR,Lower Leg,IR
Patrick Mekari,11,OG,Back,Questionable
Bo Melton,24,WR,Illness,Questionable
Max Melton,31,CB,Heel,Questionable
Jordan Meredith,15,OG,Ankle,IR
DK Metcalf,6,WR,Suspension,Reserve-Sus
Josh Metellus,21,S,Shoulder,IR
Andrew Meyer,1,C,Triceps,IR-R
RJ Mickens,14,S,Shoulder,Questionable
Kendre Miller,27,RB,Knee - ACL,IR
Kolton Miller,15,OT,Ankle,IR-R
Gardner Minshew,16,QB,Knee,IR
Keaton Mitchell,8,RB,Calf,Questionable
Zaire Mitchell-Paden,27,TE,Knee,Questionable
Joe Mixon,10,RB,Foot,NFI-R
D.J. Montgomery,12,WR,Undisclosed,IR
David Montgomery,22,RB,Illness,Questionable
David Moore,25,WR,Elbow,IR-R
Rondale Moore,21,WR,Knee,IR
T.J. Moore,20,CB,Upper Leg,IR
Foster Moreau,27,TE,Ankle,Out
Wanya Morris,16,OT,Knee,IR
Arron Mosby,24,DE,Ankle,Questionable
Al-Quadin Muhammad,22,DE,Abdomen,Questionable
Andrew Mukuba,17,S,Ankle,IR
Thayer Munford,4,OT,Knee,Questionable
Sean Murphy-Bunting,31,CB,Knee,NFI-R
Kyler Murray,31,QB,Foot,IR
Malik Nabers,20,WR,Knee - ACL,IR
Devin Neal,27,RB,Hamstring,IR
Evan Neal,20,OG,Neck,IR-R
Anthony Nelson,28,LB,Knee,Questionable
Matt Nelson,21,OT,Undisclosed,IR
Luke Newman,23,OG,Foot,IR-R
Greg Newsome,11,CB,Shoulder,Questionable
Lucas Niang,18,OT,Knee - ACL,IR
Bilal Nichols,31,DT,Knee,IR
Nick Niemann,24,LB,Pectoral,IR
David Njoku,7,TE,Knee,Questionable
Derrick Nnadi,16,DT,Illness,Questionable
Walter Nolen,31,DT,Knee,IR
Omarr Norman-Lott,16,DT,Knee - ACL,IR
Storm Norton,26,OT,Foot,IR
Rakeem Nunez-Roches,20,DT,Ankle,Questionable
Brian O'Neill,21,OT,Heel,Questionable
Dayo Odeyingbo,23,DE,Achilles,IR
Rome Odunze,23,WR,Foot,Questionable
Amen Ogbongbemiga,23,LB,Hamstring,Questionable
Drew Ogletree,12,TE,Neck,Questionable
Azeez Ojulari,17,LB,Hamstring,IR
Ogbo Okoronkwo,17,LB,Triceps,IR
Jeff Okudah,21,CB,Concussion,IR
Oluwafemi Oladejo,9,LB,Lower Leg,IR-R
Jordan Oladokun,14,CB,Undisclosed,IR
Bryce Oliver,9,WR,Knee,IR-R
Ed Oliver,3,DT,Biceps,IR
Isaiah Oliver,2,S,Knee,IR
Levi Onwuzurike,22,DT,Knee - ACL,PUP-R
Anfernee Orji,9,LB,Knee - ACL,IR
Justin Osborne,7,C,Undisclosed,IR
Joseph Ossai,5,DE,Ankle,Questionable
DeMarvion Overshown,19,LB,Concussion,Questionable
Wande Owens,3,S,Undisclosed,IR
Jeremiah Owusu-Koramoah,7,LB,Neck,PUP-R
Trey Palmer,27,WR,Ankle,IR
Donald Parham,6,TE,Achilles,IR
Micah Parsons,24,DE,Knee - ACL,IR
Josh Paschal,22,DE,Back,NFI-R
Daron Payne,18,DT,Back,Questionable
Ricky Pearsall,30,WR,Knee,Questionable
Matt Peart,13,OG,Knee - MCL,IR
JJ Pegues,15,DT,Hand,Questionable
Michael Penix,26,QB,Knee - ACL,IR
Denzel Perryman,14,LB,Suspension,Reserve-Sus
Clark Phillips,26,CB,Triceps,IR
Jacob Phillips,12,LB,Biceps,IR
Jordan Phillips,3,DT,Ankle,Questionable
Michael Pierce,8,DT,Undisclosed,Reserve-Ret
James Pierre,6,CB,Calf,Questionable
Mason Pline,27,TE,Upper Body,IR
Ethan Pocic,7,C,Achilles,IR
Ja'Lynn Polk,27,WR,Shoulder,IR
Jackson Powers-Johnson,15,OG,Ankle,IR
Jordan Poyer,3,S,Hamstring,Questionable
Matt Prater,3,K,Quadriceps,Questionable
Deneric Prince,4,RB,Undisclosed,IR
Frank Ragnow,22,C,Hamstring,Reserve-Ret
Bernhard Raimann,12,OT,Elbow,Questionable
Ennis Rakestraw,22,CB,Shoulder,IR
Ryan Ramczyk,27,OT,Undisclosed,Reserve-Ret
Sheldon Rankins,10,DT,Knee,Questionable
Caleb Ransaw,11,S,Lower Body,IR
Taylor Rapp,3,S,Knee,IR
Jaylen Reed,10,S,Forearm,IR
Karene Reid,13,LB,Hamstring,IR-R
Winston Reid,7,LB,Back,IR-R
Tip Reiman,31,TE,Ankle,IR
Nikko Remigio,16,WR,Knee,Questionable
