season,gametypeid,week,day,date,awayteam,hometeam,network  ,time
2022,2,3,Sun,9/25/2022,Chiefs,Colts,,1:00 PM
2022,2,3,Sun,9/25/2022,Bills,Dolphins,,1:00 PM
2022,2,3,Sun,9/25/2022,Lions,Vikings,,1:00 PM
2022,2,3,Sun,9/25/2022,Ravens,Patriots,,1:00 PM
2022,2,3,Sun,9/25/2022,Bengals,Jets,,1:00 PM
2022,2,3,Sun,9/25/2022,Raiders,Titans,,1:00 PM
2022,2,3,Sun,9/25/2022,Eagles,Commanders,,1:00 PM
2022,2,3,Sun,9/25/2022,Jaguars,Chargers,,4:05 PM
2022,2,3,Sun,9/25/2022,Rams,Cardinals,,4:25 PM
2022,2,3,Sun,9/25/2022,Falcons,Seahawks,,4:25 PM
2022,2,3,Sun,9/25/2022,Packers,Buccaneers,,4:25 PM
2022,2,3,Sun,9/25/2022,49ers,Broncos,,8:20 PM
2022,2,3,Mon,9/26/2022,Cowboys,Giants,,8:15 PM
2022,2,4,Thu,9/29/2022,Dolphins,Bengals,,8:15 PM
2022,2,4,Sun,10/2/2022,Vikings,Saints,,9:30 AM
2022,2,4,Sun,10/2/2022,Browns,Falcons,,1:00 PM
2022,2,4,Sun,10/2/2022,Titans,Colts,,1:00 PM
2022,2,4,Sun,10/2/2022,Commanders,Cowboys,,1:00 PM
2022,2,4,Sun,10/2/2022,Seahawks,Lions,,1:00 PM
2022,2,4,Sun,10/2/2022,Chargers,Texans,,1:00 PM
2022,2,4,Sun,10/2/2022,Bears,Giants,,1:00 PM
2022,2,4,Sun,10/2/2022,Jaguars,Eagles,,1:00 PM
2022,2,4,Sun,10/2/2022,Jets,Steelers,,1:00 PM
2022,2,4,Sun,10/2/2022,Bills,Ravens,,1:00 PM
2022,2,4,Sun,10/2/2022,Cardinals,Panthers,,4:05 PM
2022,2,4,Sun,10/2/2022,Patriots,Packers,,4:25 PM
2022,2,4,Sun,10/2/2022,Broncos,Raiders,,4:25 PM
2022,2,4,Sun,10/2/2022,Chiefs,Buccaneers,,8:20 PM
2022,2,4,Mon,10/3/2022,Rams,49ers,,8:15 PM
2022,2,5,Thu,10/6/2022,Colts,Broncos,,8:15 PM
2022,2,5,Sun,10/9/2022,Giants,Packers,,9:30 AM
2022,2,5,Sun,10/9/2022,Steelers,Bills,,1:00 PM
2022,2,5,Sun,10/9/2022,Chargers,Browns,,1:00 PM
2022,2,5,Sun,10/9/2022,Texans,Jaguars,,1:00 PM
2022,2,5,Sun,10/9/2022,Bears,Vikings,,1:00 PM
2022,2,5,Sun,10/9/2022,Seahawks,Saints,,1:00 PM
2022,2,5,Sun,10/9/2022,Lions,Patriots,,1:00 PM
2022,2,5,Sun,10/9/2022,Dolphins,Jets,,1:00 PM
2022,2,5,Sun,10/9/2022,Falcons,Buccaneers,,1:00 PM
2022,2,5,Sun,10/9/2022,Titans,Commanders,,1:00 PM
2022,2,5,Sun,10/9/2022,49ers,Panthers,,4:05 PM
2022,2,5,Sun,10/9/2022,Eagles,Cardinals,,4:25 PM
2022,2,5,Sun,10/9/2022,Cowboys,Rams,,4:25 PM
2022,2,5,Sun,10/9/2022,Bengals,Ravens,,8:20 PM
2022,2,5,Mon,10/10/2022,Raiders,Chiefs,,8:15 PM
2022,2,6,Thu,10/13/2022,Commanders,Bears,,8:15 PM
2022,2,6,Sun,10/16/2022,49ers,Falcons,,1:00 PM
2022,2,6,Sun,10/16/2022,Patriots,Browns,,1:00 PM
2022,2,6,Sun,10/16/2022,Jaguars,Colts,,1:00 PM
2022,2,6,Sun,10/16/2022,Jets,Packers,,1:00 PM
2022,2,6,Sun,10/16/2022,Vikings,Dolphins,,1:00 PM
2022,2,6,Sun,10/16/2022,Bengals,Saints,,1:00 PM
2022,2,6,Sun,10/16/2022,Ravens,Giants,,1:00 PM
