season,gametypeid,week,date,time,network,awayteam,hometeam
2021,2,10,11/15/2021,8:15 PM,ESPN,Rams,49ers
2021,2,11,11/18/2021,8:20 PM,FOX,Patriots,Falcons
2021,2,11,11/21/2021,1:00 PM,FOX,49ers,Jaguars
2021,2,11,11/21/2021,1:00 PM,CBS,Colts,Bills
2021,2,11,11/21/2021,1:00 PM,CBS,Dolphins,Jets
2021,2,11,11/21/2021,1:00 PM,FOX,Lions,Browns
2021,2,11,11/21/2021,1:00 PM,FOX,Packers,Vikings
2021,2,11,11/21/2021,1:00 PM,CBS,Ravens,Bears
2021,2,11,11/21/2021,1:00 PM,FOX,Redskins,Panthers
2021,2,11,11/21/2021,1:00 PM,FOX,Saints,Eagles
2021,2,11,11/21/2021,1:00 PM,CBS,Texans,Titans
2021,2,11,11/21/2021,4:05 PM,CBS,Bengals,Raiders
2021,2,11,11/21/2021,4:25 PM,FOX,Cardinals,Seahawks
2021,2,11,11/21/2021,4:25 PM,FOX,Cowboys,Chiefs
2021,2,11,11/21/2021,8:20 PM,NBC,Steelers,Chargers
2021,2,11,11/22/2021,8:15 PM,ESPN,Giants,Buccaneers
2021,2,12,11/25/2021,12:30 PM,FOX,Bears,Lions
2021,2,12,11/25/2021,4:30 PM,CBS,Raiders,Cowboys
2021,2,12,11/25/2021,8:20 PM,NBC,Bills,Saints
2021,2,12,11/28/2021,1:00 PM,FOX,Buccaneers,Colts
2021,2,12,11/28/2021,1:00 PM,FOX,Eagles,York Giants
2021,2,12,11/28/2021,1:00 PM,CBS,Falcons,Jaguars
2021,2,12,11/28/2021,1:00 PM,CBS,Jets,Texans
2021,2,12,11/28/2021,1:00 PM,FOX,Panthers,Dolphins
2021,2,12,11/28/2021,1:00 PM,CBS,Steelers,Bengals
2021,2,12,11/28/2021,1:00 PM,CBS,Titans,Patriots
2021,2,12,11/28/2021,4:05 PM,CBS,Chargers,Broncos
2021,2,12,11/28/2021,4:25 PM,FOX,Rams,Packers
2021,2,12,11/28/2021,4:25 PM,CBS,Vikings,49ers
2021,2,12,11/28/2021,8:20 PM,NBC,Browns,Ravens
2021,2,12,11/29/2021,8:15 PM,ESPN,Seahawks,Redskins
2021,2,13,12/2/2021,8:20 PM,CBS,Cowboys,Saints
2021,2,13,12/5/2021,1:00 PM,NBC,Broncos,Chiefs
2021,2,13,12/5/2021,1:00 PM,CBS,Buccaneers,Falcons
2021,2,13,12/5/2021,1:00 PM,FOX,Cardinals,Bears
2021,2,13,12/5/2021,1:00 PM,FOX,Chargers,Bengals
2021,2,13,12/5/2021,1:00 PM,CBS,Colts,Texans
2021,2,13,12/5/2021,1:00 PM,FOX,Eagles,Jets
2021,2,13,12/5/2021,1:00 PM,FOX,Giants,Dolphins
2021,2,13,12/5/2021,1:00 PM,CBS,Vikings,Lions
2021,2,13,12/5/2021,4:05 PM,FOX,Redskins,Raiders
2021,2,13,12/5/2021,4:25 PM,CBS,Jaguars,Rams
2021,2,13,12/5/2021,4:25 PM,CBS,Ravens,Steelers
2021,2,13,12/5/2021,8:20 PM,FOX,49ers,Seahawks
2021,2,13,12/6/2021,8:15 PM,ESPN,Patriots,Bills
2021,2,14,12/9/2021,8:20 PM,FOX,Steelers,Vikings
2021,2,14,12/12/2021,1:00 PM,CBS,49ers,Bengals
2021,2,14,12/12/2021,1:00 PM,FOX,Cowboys,Redskins
2021,2,14,12/12/2021,1:00 PM,FOX,Falcons,Panthers
2021,2,14,12/12/2021,1:00 PM,CBS,Jaguars,Titans
2021,2,14,12/12/2021,1:00 PM,CBS,Raiders,Chiefs
2021,2,14,12/12/2021,1:00 PM,CBS,Ravens,Browns
2021,2,14,12/12/2021,1:00 PM,FOX,Saints,Jets
2021,2,14,12/12/2021,1:00 PM,FOX,Seahawks,Texans
2021,2,14,12/12/2021,4:05 PM,FOX,Giants,Chargers
2021,2,14,12/12/2021,4:05 PM,FOX,Lions,Broncos
2021,2,14,12/12/2021,4:25 PM,CBS,Bills,Buccaneers
2021,2,14,12/12/2021,8:20 PM,NBC,Bears,Packers
2021,2,14,12/13/2021,8:15 PM,ESPN,Rams,Cardinals
2021,2,15,12/16/2021,8:20 PM,CBS,Chiefs,Chargers
2021,2,15,12/19/2021,1:00 PM,CBS,Cardinals,Lions
2021,2,15,12/19/2021,1:00 PM,CBS,Cowboys,Giants
2021,2,15,12/19/2021,1:00 PM,CBS,Jets,Dolphins
2021,2,15,12/19/2021,1:00 PM,CBS,Packers,Ravens
2021,2,15,12/19/2021,1:00 PM,CBS,Panthers,Bills
2021,2,15,12/19/2021,1:00 PM,CBS,Patriots,Colts
2021,2,15,12/19/2021,1:00 PM,CBS,Raiders,Browns
2021,2,15,12/19/2021,1:00 PM,CBS,Redskins,Eagles
2021,2,15,12/19/2021,1:00 PM,CBS,Texans,Jaguars
2021,2,15,12/19/2021,1:00 PM,CBS,Titans,Steelers
2021,2,15,12/19/2021,4:05 PM,CBS,Bengals,Broncos
2021,2,15,12/19/2021,4:05 PM,CBS,Falcons,49ers
2021,2,15,12/19/2021,4:25 PM,CBS,Seahawks,Rams
2021,2,15,12/19/2021,8:20 PM,CBS,Saints,Buccaneers
2021,2,15,12/20/2021,8:15 PM,CBS,Vikings,Bears
2021,2,16,12/23/2021,8:20 PM,CBS,49ers,Titans
2021,2,16,12/25/2021,4:30 PM,CBS,Browns,Packers
2021,2,16,12/25/2021,8:15 PM,CBS,Colts,Cardinals
2021,2,16,12/26/2021,1:00 PM,CBS,Bills,Patriots
2021,2,16,12/26/2021,1:00 PM,CBS,Buccaneers,Panthers
2021,2,16,12/26/2021,1:00 PM,CBS,Chargers,Texans
2021,2,16,12/26/2021,1:00 PM,CBS,Jaguars,Jets
2021,2,16,12/26/2021,1:00 PM,CBS,Jets,Vikings
2021,2,16,12/26/2021,1:00 PM,CBS,Lions,Falcons
2021,2,16,12/26/2021,1:00 PM,CBS,Ravens,Bengals
2021,2,16,12/26/2021,1:00 PM,CBS,York Giants,Eagles
2021,2,16,12/26/2021,4:05 PM,CBS,Bears,Seahawks
2021,2,16,12/26/2021,4:25 PM,CBS,Broncos,Raiders
2021,2,16,12/26/2021,4:25 PM,CBS,Steelers,Chiefs
2021,2,16,12/26/2021,8:20 PM,CBS,Redskins,Cowboys
2021,2,16,12/27/2021,8:15 PM,CBS,Dolphins,Saints
2021,2,17,1/2/2022,1:00 PM,CBS,Buccaneers,Jets
2021,2,17,1/2/2022,1:00 PM,CBS,Cardinals,Cowboys
2021,2,17,1/2/2022,1:00 PM,CBS,Chiefs,Bengals
2021,2,17,1/2/2022,1:00 PM,CBS,Dolphins,Titans
2021,2,17,1/2/2022,1:00 PM,CBS,Eagles,Redskins
2021,2,17,1/2/2022,1:00 PM,CBS,Falcons,Bills
2021,2,17,1/2/2022,1:00 PM,CBS,Giants,Bears
2021,2,17,1/2/2022,1:00 PM,CBS,Jaguars,Patriots
2021,2,17,1/2/2022,1:00 PM,CBS,Panthers,Saints
2021,2,17,1/2/2022,1:00 PM,CBS,Raiders,Colts
2021,2,17,1/2/2022,4:05 PM,CBS,Broncos,Chargers
2021,2,17,1/2/2022,4:05 PM,CBS,Texans,49ers
2021,2,17,1/2/2022,4:25 PM,CBS,Lions,Seahawks
2021,2,17,1/2/2022,4:25 PM,CBS,Rams,Ravens
2021,2,17,1/2/2022,8:20 PM,CBS,Vikings,Bay Packers
2021,2,17,1/3/2022,8:15 PM,CBS,Browns,Steelers
2021,2,18,1/9/2022,1:00 PM,CBS,Bears,Vikings
2021,2,18,1/9/2022,1:00 PM,CBS,Bengals,Browns
2021,2,18,1/9/2022,1:00 PM,CBS,Colts,Jaguars
2021,2,18,1/9/2022,1:00 PM,CBS,Cowboys,Eagles
2021,2,18,1/9/2022,1:00 PM,CBS,Packers,Lions
2021,2,18,1/9/2022,1:00 PM,CBS,Panthers,Buccaneers
2021,2,18,1/9/2022,1:00 PM,CBS,Patriots,Dolphins
2021,2,18,1/9/2022,1:00 PM,CBS,Redskins,Giants
2021,2,18,1/9/2022,1:00 PM,CBS,Saints,Falcons
2021,2,18,1/9/2022,1:00 PM,CBS,Steelers,Ravens
2021,2,18,1/9/2022,1:00 PM,CBS,Titans,Texans
2021,2,18,1/9/2022,1:00 PM,CBS,York Jets,Bills
2021,2,18,1/9/2022,4:25 PM,CBS,49ers,Rams
2021,2,18,1/9/2022,4:25 PM,CBS,Chargers,Raiders
2021,2,18,1/9/2022,4:25 PM,CBS,Chiefs,Broncos
2021,2,18,1/9/2022,4:25 PM,CBS,Seahawks,Cardinals
2021,3,19,1/15/2022,4:00 PM,CBS,AFC WildCard 2,AFC Card 1
2021,3,19,1/15/2022,4:00 PM,CBS,AFC WildCard 4,AFC Card 3
2021,3,19,1/15/2022,8:00 PM,CBS,NFC WildCard 2,NFC Card 2
2021,3,19,1/16/2022,4:00 PM,CBS,AFC WildCard 2,AFC Card 4
2021,3,19,1/16/2022,4:00 PM,CBS,AFC WildCard 4,AFC Card 6
2021,3,19,1/16/2022,8:00 PM,CBS,NFC WildCard 2,NFC Card 5
2021,3,20,1/22/2022,4:00 PM,CBS,AFC Division C,Divis 1
2021,3,20,1/22/2022,8:00 PM,CBS,NFC Division C,Divis 2
2021,3,20,1/23/2022,4:00 PM,CBS,AFC Division 4,AFC Divis 3
2021,3,20,1/23/2022,8:00 PM,CBS,NFC Division 4,NFC Divis 4
2021,3,21,1/30/2022,3:05 PM,CBS,AFC Champ 2,AFC Champ 1
2021,3,21,1/30/2022,6:40 PM,FOX,NFC Champ 2,NFC Champ 2
2021,3,22,2/13/2022,6:30 PM,FOX,AFC Champ,NFC Champ
