season,gametypeid,week,date,awayteam,hometeam,network,time
2024,2,9,11/3/2024,Broncos,Ravens,FOX,1:00 PM
2024,2,9,11/3/2024,Bears,Cardinals,CBS,4:05 PM
2024,2,9,11/3/2024,Lions,Packers,FOX,4:25 PM
2024,2,9,11/3/2024,Rams,Seahawks,FOX,4:25 PM
2024,2,9,11/3/2024,Jaguars,Eagles,NBC,8:20 PM
2024,2,9,11/4/2024,Buccaneers,Chiefs,ESPN,8:15 PM
2024,2,10,11/7/2024,Bengals,Ravens,Amazon,8:15 PM
2024,2,10,11/10/2024,Giants,Panthers,NFL,9:30 AM
2024,2,10,11/10/2024,Patriots,Bears,FOX,1:00 PM
2024,2,10,11/10/2024,Bills,Colts,CBS,1:00 PM
2024,2,10,11/10/2024,Vikings,Jaguars,FOX,1:00 PM
2024,2,10,11/10/2024,Broncos,Chiefs,CBS,1:00 PM
2024,2,10,11/10/2024,Falcons,Saints,FOX,1:00 PM
2024,2,10,11/10/2024,49ers,Buccaneers,FOX,1:00 PM
2024,2,10,11/10/2024,Steelers,Commanders,CBS,1:00 PM
2024,2,10,11/10/2024,Titans,Chargers,FOX,4:05 PM
2024,2,10,11/10/2024,Jets,Cardinals,CBS,4:25 PM
2024,2,10,11/10/2024,Eagles,Cowboys,CBS,4:25 PM
2024,2,10,11/10/2024,Lions,Texans,NBC,8:20 PM
2024,2,10,11/11/2024,Dolphins,Rams,ESPN,8:15 PM
2024,2,11,11/14/2024,Commanders,Eagles,Amazon,8:15 PM
2024,2,11,11/17/2024,Packers,Bears,FOX,1:00 PM
2024,2,11,11/17/2024,Jaguars,Lions,CBS,1:00 PM
2024,2,11,11/17/2024,Raiders,Dolphins,CBS,1:00 PM
2024,2,11,11/17/2024,Browns,Saints,FOX,1:00 PM
2024,2,11,11/17/2024,Rams,Patriots,FOX,1:00 PM
2024,2,11,11/17/2024,Vikings,Titans,CBS,1:00 PM
2024,2,11,11/17/2024,Ravens,Steelers,CBS,1:00 PM
2024,2,11,11/17/2024,Falcons,Broncos,FOX,4:05 PM
2024,2,11,11/17/2024,Seahawks,49ers,FOX,4:05 PM
2024,2,11,11/17/2024,Chiefs,Bills,CBS,4:25 PM
2024,2,11,11/17/2024,Bengals,Chargers,CBS,4:25 PM
