Week,Day,Date,Visitor,Home,Time
15,Mon,Dec 19,Panthers,Redskins,8:30 PM
16,Thu,Dec 22,Giants,Eagles,8:25 PM
16,Sat,Dec 24,Dolphins,Bills,1:00 PM
16,Sat,Dec 24,Falcons,Panthers,1:00 PM
16,Sat,Dec 24,Redskins,Bears,1:00 PM
16,Sat,Dec 24,Chargers,Browns,1:00 PM
16,Sat,Dec 24,Vikings,Packers,1:00 PM
16,Sat,Dec 24,Titans,Jaguars,1:00 PM
16,Sat,Dec 24,Buccaneers,Saints,1:00 PM
16,Sat,Dec 24,Jets,Patriots,1:00 PM
16,Sat,Dec 24,Colts,Raiders,4:05 PM
16,Sat,Dec 24,49ers,Rams,4:25 PM
16,Sat,Dec 24,Cardinals,Seahawks,4:25 PM
16,Sat,Dec 24,Bengals,Texans,8:25 PM
16,Sun,Dec 25,Ravens,Steelers,4:30 PM
16,Sun,Dec 25,Broncos,Chiefs,8:30 PM
16,Mon,Dec 26,Lions,Cowboys,8:30 PM
17,Sun,Jan 1,Saints,Falcons,1:00 PM
17,Sun,Jan 1,Ravens,Bengals,1:00 PM
17,Sun,Jan 1,Jaguars,Colts,1:00 PM
17,Sun,Jan 1,Packers,Lions,1:00 PM
17,Sun,Jan 1,Patriots,Dolphins,1:00 PM
17,Sun,Jan 1,Bears,Vikings,1:00 PM
17,Sun,Jan 1,Bills,Jets,1:00 PM
17,Sun,Jan 1,Texans,Titans,1:00 PM
17,Sun,Jan 1,Cowboys,Eagles,1:00 PM
17,Sun,Jan 1,Browns,Steelers,1:00 PM
17,Sun,Jan 1,Panthers,Buccaneers,1:00 PM
17,Sun,Jan 1,Giants,Redskins,1:00 PM
17,Sun,Jan 1,Raiders,Broncos,4:25 PM
17,Sun,Jan 1,Cardinals,Rams,4:25 PM
17,Sun,Jan 1,Chiefs,Chargers,4:25 PM
17,Sun,Jan 1,Seahawks,49ers,4:25 PM
