Player,Team,Pos,Injury,Status
Jevon Holland,1,S,Concussion,Questionable
Hendon Hooker,22,QB,Knee - ACL,NFI-R
Jaycee Horn,25,CB,Hamstring,IR
James Houston,22,LB,Ankle,IR
Tytus Howard,10,OG,Knee,Questionable
Xavien Howard,1,CB,Groin,Questionable
Evan Hull,12,RB,Knee,IR
Kareem Hunt,7,RB,Thigh,Questionable
James Hurst,27,OT,Ankle,Questionable
Alec Ingold,1,FB,Foot,Questionable
Myles Jack,17,LB,Personal,Reserve-Ret
Adoree' Jackson,20,CB,Neck,Questionable
Eddie Jackson,23,S,Foot,Questionable
Jonah Jackson,22,OG,Ankle,Questionable
Kareem Jackson,13,S,Suspension,Reserve-Sus
Kearis Jackson,9,WR,Ankle,IR
Richie James,16,WR,Knee - MCL,IR
Justin Jefferson,21,WR,Hamstring,IR
Elgton Jenkins,24,OG,Knee,Questionable
Ryan Jensen,28,C,Knee,IR
Brandon Johnson,13,WR,Hamstring,Questionable
Diontae Johnson,6,WR,Hamstring,Questionable
Eric Johnson,12,DT,Ankle,Questionable
Juwan Johnson,27,TE,Calf,Questionable
Nazeeh Johnson,16,S,Knee - ACL,IR
Roderick Johnson,17,OT,Undisclosed,IR
Aaron Jones,24,RB,Hamstring,Questionable
Benito Jones,22,DT,Ankle,Questionable
Braxton Jones,23,OT,Neck,IR-R
Charlie Jones,5,WR,Thumb,IR
Daniel Jones,20,QB,Neck,Questionable
DaQuan Jones,3,DT,Pectoral,IR
Ernest Jones,32,LB,Knee,Questionable
Jonathan Jones,4,CB,Knee,Questionable
Marcus Jones,4,CB,Shoulder,IR
Zay Jones,11,WR,Knee,Questionable
Brevin Jordan,10,TE,Foot,Questionable
Matthew Judon,4,LB,Biceps,IR
Gregory Junior,11,CB,Hamstring,IR-R
Cam Jurgens,17,OG,Foot,IR
Khalid Kareem,23,DE,Hip,IR-R
Zonovan Knight,22,RB,Shoulder,IR
Malik Knowles,21,WR,Undisclosed,NFI-R
Dawson Knox,3,TE,Wrist,IR
Kader Kohou,1,CB,Neck,Questionable
Jordan Kunaszyk,7,LB,Knee - MCL,IR
William Kwenkeu,21,LB,Undisclosed,IR
Cameron Latu,30,TE,Knee - Meniscus,IR
Trevor Lawrence,11,QB,Knee,Questionable
Raheem Layne,14,S,Knee,IR
Shane Lemieux,20,OG,Biceps,IR
Matt Leo,17,DE,Undisclosed,Reserve-Ret
Titus Leo,12,DE,Undisclosed,IR
Deane Leonard,14,CB,Hamstring,Questionable
Corey Linsley,14,C,Illness,NFI-R
Walker Little,11,OG,Knee,Questionable
Tyler Lockett,29,WR,Hamstring,Questionable
Hunter Long,32,TE,Hamstring,IR-R
Vederian Lowe,4,OT,Ankle,Questionable
Abraham Lucas,29,OT,Knee,IR
Darrell Luter,30,CB,Knee,PUP-R
Frankie Luvu,25,LB,Hip,Questionable
James Lynch,21,DT,Knee - ACL,IR
Marlon Mack,31,RB,Achilles,IR
Avonte Maddox,17,CB,Pectoral,IR
Tyrann Mathieu,27,S,Foot,Questionable
Phidarian Mathis,18,DT,Calf,IR-R
Jesse Matthews,10,WR,Knee - ACL,IR
Devonnsha Maxwell,5,DT,Knee,IR
Marcus Maye,27,S,Hamstring,Questionable
Baker Mayfield,28,QB,Knee,Questionable
Roger McCreary,9,CB,Hamstring,Questionable
Anthony McFarland,6,RB,Knee,IR-R
Kenny McIntosh,29,RB,Knee,IR-R
Jerick McKinnon,16,RB,Groin,Questionable
Kyler McMichael,31,CB,Undisclosed,IR
Raekwon McMillan,4,LB,Achilles,IR
Zech McPhearson,17,CB,Achilles,IR
Kaevon Merriweather,28,S,Ankle,Out
Sony Michel,32,RB,Undisclosed,Reserve-Ret
Matt Milano,3,LB,Leg,IR
Ventrell Miller,11,LB,Achilles,IR
Dax Milne,18,WR,Groin,IR
Keaton Mitchell,8,RB,Hamstring,Questionable
Bryan Mone,29,DT,Knee - ACL,PUP-R
David Montgomery,22,RB,Ribs,Questionable
Ty Montgomery,4,RB,Knee,Questionable
Chris Moore,9,WR,Concussion,Questionable
Jaylon Moore,11,WR,Undisclosed,IR
Nick Moore,8,C,Achilles,NFI-R
Mike Morris,29,DE,Shoulder,IR
Quintin Morris,3,TE,Ankle,Out
Emmanuel Moseley,22,CB,Knee - ACL,IR
Zack Moss,12,RB,Elbow,Questionable
Raheem Mostert,1,RB,Ankle,Questionable
Taylor Moton,25,OT,Knee,Questionable
Trayvon Mullen,8,CB,Toe,NFI-R
Nick Mullens,21,QB,Back,IR
Larrell Murchison,32,DT,Knee,Questionable
Eric Murray,10,S,Knee,IR
Kyler Murray,31,QB,Knee - ACL,PUP-R
Luke Musgrave,24,TE,Ankle,Questionable
Chris Myarick,20,FB,Hand,IR
Josh Myers,24,C,Ankle,Questionable
Jalen Nailor,21,WR,Hamstring,IR-R
Evan Neal,20,OT,Ankle,Questionable
Nik Needham,1,CB,Achilles,Questionable
Matt Nelson,22,OT,Ankle,IR
Yosh Nijman,24,OT,Knee,Questionable
Tre Nixon,4,WR,Shoulder,IR
David Njoku,7,TE,Knee,Questionable
Uchenna Nwosu,29,LB,Pectoral,IR
Ifeadi Odenigbo,2,DE,Undisclosed,IR
Otito Ogbonnia,14,DT,Kneecap,PUP-R
Adetokunbo Ogundeji,26,LB,Foot,IR
Larry Ogunjobi,6,DT,Shoulder,Questionable
David Ojabo,8,LB,Ankle,IR
Azeez Ojulari,20,LB,Ankle,IR
Ogbonnia Okoronkwo,7,DE,Ribs,Questionable
Ed Oliver,3,DT,Toe,Questionable
Joshua Onujiogu,29,LB,Elbow,IR
DeMarvion Overshown,19,LB,Knee - ACL,IR
Odafe Oweh,8,LB,Ankle,Questionable
Alex Palczewski,13,OT,Hand,IR
Joshua Palmer,14,WR,Knee,Questionable
Zach Pascal,31,WR,Neck,Questionable
Tim Patrick,13,WR,Achilles,IR
Matt Peart,20,OT,Shoulder,IR
Marcus Peters,15,CB,Back,Questionable
Jacob Phillips,7,LB,Pectoral,IR
Danny Pinter,12,C,Ankle,IR
Joey Porter,6,CB,Calf,Questionable
Adam Prentice,27,FB,Knee,IR
Brock Purdy,30,QB,Concussion,Questionable
Scott Quessenberry,10,C,Knee - ACL + MCL,IR
Frank Ragnow,22,C,Toe,Questionable
Ryan Ramczyk,27,OT,Concussion,Questionable
Jalen Ramsey,1,CB,Knee - Meniscus,IR-R
Sheldon Rankins,10,DT,Knee,Questionable
Jeremy Reaves,18,S,Knee - ACL,IR
Chris Reed,21,OG,Lower Leg,NFI-R
D.J. Reed,2,CB,Concussion,Questionable
Joe Reed,23,WR,Undisclosed,IR
Riley Reiff,4,OG,Knee,IR
Nikko Remigio,16,WR,Wrist,IR
Sammis Reyes,11,TE,Concussion,Reserve-Ret
Giovanni Ricci,25,TE,Shoulder,IR
Anthony Richardson,12,QB,Shoulder - AC Joint,IR
Hassan Ridgeway,10,DT,Calf,IR-R
Ronnie Rivers,32,RB,Knee - PCL,IR
Aaron Robinson,20,CB,Knee - ACL + MCL,PUP-R
Wan'Dale Robinson,20,WR,Knee,Questionable
Bradley Roby,17,CB,Shoulder,Questionable
Aaron Rodgers,2,QB,Achilles,IR
Isaiah Rodgers,17,CB,Suspension,Reserve-Sus
Malcolm Rodriguez,22,LB,Ankle,Questionable
Armani Rogers,18,TE,Achilles,IR
Chapelle Russell,6,LB,Undisclosed,IR
Curtis Samuel,18,WR,Foot,Questionable
Deebo Samuel,30,WR,Shoulder,Out
Darnell Savage,24,S,Calf,IR
DJ Scaife,10,OT,Leg,IR
Brandon Scherff,11,OG,Ankle,Questionable
John Michael Schmitz,20,C,Shoulder,Questionable
Daniel Scott,12,S,Knee - ACL,IR
Juice Scruggs,10,C,Hamstring,IR
Brandon Shell,3,OT,Undisclosed,Reserve-Ret
Laviska Shenault,25,WR,Ankle,Questionable
Justin Shorter,3,WR,Hamstring,IR
Ben Skowronek,32,WR,Achilles,Questionable
Braden Smith,12,OT,Hip,Questionable
Cam Smith,1,CB,Foot,Questionable
Preston Smith,24,LB,Illness,Questionable
Terell Smith,23,CB,Illness,Questionable
Tyron Smith,19,OT,Neck,Questionable
Baylon Spector,3,LB,Hamstring,Out
Benjamin St-Juste,18,CB,Thigh,Questionable
Equanimeous St. Brown,23,WR,Hamstring,IR
Taylor Stallworth,9,DT,Undisclosed,IR
John Stephens,19,TE,Knee - ACL,IR
Caden Sterns,13,S,Knee,IR
Grover Stewart,12,DT,Suspension,Reserve-Sus
Derek Stingley,10,CB,Hamstring,IR
Eric Stokes,24,CB,Hamstring,IR
Cole Strange,4,OG,Knee,Questionable
Kevin Strong,31,DE,Shoulder,Questionable
Nate Sudfeld,22,QB,Knee - ACL,IR
Tommy Sweeney,20,TE,Undisclosed,NFI-R
Sione Takitaki,7,LB,Hamstring,Questionable
Ryan Tannehill,9,QB,Ankle,Questionable
Alontae Taylor,27,CB,Hip,Questionable
Jason Taylor,32,S,Groin,IR
Leonard Taylor,11,TE,Undisclosed,IR
Roderic Teamer,15,S,Hamstring,IR
Luke Tenuta,24,OT,Ankle,IR
Kayvon Thibodeaux,20,LB,Knee,Questionable
