Player,Team,Pos,Injury,Status
Bub Means,27,WR,Lower Leg,IR
Max Melton,31,CB,Heel,Questionable
Jordan Meredith,15,C,Foot,Questionable
Andrew Meyer,1,C,Triceps,IR-R
RJ Mickens,14,S,Shoulder,Questionable
Kendre Miller,27,RB,Knee - ACL,IR
Kolton Miller,15,OT,Ankle,IR-R
Amarius Mims,5,OT,Knee,Questionable
Joe Mixon,10,RB,Foot,NFI-R
Elijah Molden,14,S,Hamstring,Questionable
D.J. Montgomery,12,WR,Undisclosed,IR
Dan Moore,9,OT,Neck,Questionable
David Moore,25,WR,Elbow,IR
Jaylon Moore,16,OT,Knee,Questionable
Rondale Moore,21,WR,Knee,IR
T.J. Moore,20,CB,Upper Leg,IR
Wanya Morris,16,OT,Knee,IR
Andrew Mukuba,17,S,Ankle,IR
Sean Murphy-Bunting,31,CB,Knee,NFI-R
Kyler Murray,31,QB,Foot,IR
Malik Nabers,20,WR,Knee - ACL,IR
Devin Neal,27,RB,Hamstring,Questionable
Evan Neal,20,OG,Hamstring,IR
Matt Nelson,21,OT,Undisclosed,IR
Luke Newman,23,OG,Foot,IR
Lucas Niang,18,OT,Knee - ACL,IR
Bilal Nichols,31,DT,Knee,IR
Nick Niemann,24,LB,Pectoral,IR
David Njoku,7,TE,Knee,Questionable
Omarr Norman-Lott,16,DT,Knee - ACL,IR
Storm Norton,26,OT,Foot,IR
Rakeem Nunez-Roches,20,DT,Ankle,Questionable
Brian O'Neill,21,OT,Ankle,Questionable
Dayo Odeyingbo,23,DE,Achilles,IR
Rome Odunze,23,WR,Foot,Questionable
Amen Ogbongbemiga,23,LB,Hamstring,Questionable
Azeez Ojulari,17,LB,Hamstring,IR
Ogbo Okoronkwo,17,LB,Triceps,IR
Sam Okuayinonu,30,DE,Ankle,Questionable
Jeff Okudah,21,CB,Concussion,IR
Oluwafemi Oladejo,9,LB,Leg,IR
Jordan Oladokun,14,CB,Undisclosed,IR
Bryce Oliver,9,WR,Knee,IR
Collin Oliver,24,DE,Hamstring,PUP-R
Ed Oliver,3,DT,Biceps,IR
Isaiah Oliver,2,S,Knee,IR
Gunner Olszewski,20,WR,Concussion,Questionable
Levi Onwuzurike,22,DT,Knee - ACL,PUP-R
Anfernee Orji,9,LB,Knee - ACL,IR
Justin Osborne,7,C,Undisclosed,IR
Cade Otton,28,TE,Knee,Questionable
Wande Owens,3,S,Undisclosed,IR
Jeremiah Owusu-Koramoah,7,LB,Neck,PUP-R
Trey Palmer,27,WR,Ankle,IR
Donald Parham,6,TE,Achilles,IR
Micah Parsons,24,DE,Knee - ACL,Out
Josh Paschal,22,DE,Back,NFI-R
Ricky Pearsall,30,WR,Ankle,Questionable
Matt Peart,13,OG,Knee - MCL,IR
Andrus Peat,6,OT,Concussion,Questionable
Michael Penix,26,QB,Knee - ACL,IR
Clark Phillips,26,CB,Triceps,IR
Jacob Phillips,12,LB,Biceps,IR
Jordan Phillips,3,DT,Ankle,Out
Michael Pierce,8,DT,Undisclosed,Reserve-Ret
James Pierre,6,CB,Calf,Questionable
Trey Pipkins,14,OT,Ankle,Questionable
Mason Pline,27,TE,Upper Body,IR
Ethan Pocic,7,C,Achilles,IR
Ja'Lynn Polk,27,WR,Shoulder,IR
Ben Powers,13,OG,Biceps,IR-R
Jackson Powers-Johnson,15,OG,Ankle,IR
