Player,Team,Pos,Injury,Status,Est. Return
Marcus Davenport,DET,DE,Shoulder,IR-R,Subscribers Only
Daewood Davis,FA,WR,Thigh,Questionable,Subscribers Only
Domenique Davis,FA,DT,Undisclosed,Questionable,Subscribers Only
Jarrad Davis,FA,LB,Knee,Questionable,Subscribers Only
L.J. Davis,FA,CB,Undisclosed,Questionable,Subscribers Only
Quartney Davis,FA,WR,Shoulder,Questionable,Subscribers Only
Shawn Davis,FA,S,Abdomen,Questionable,Subscribers Only
Tae Davis,FA,LB,Foot,Questionable,Subscribers Only
Duke Dawson,FA,CB,Undisclosed,Questionable,Subscribers Only
Luke Deal,FA,TE,Undisclosed,Questionable,Subscribers Only
Jamel Dean,TB,CB,Hip,Questionable,Subscribers Only
Dylan Deatherage,FA,OT,Undisclosed,Questionable,Subscribers Only
Dawson Deaton,FA,OG,Knee - ACL,Questionable,Subscribers Only
Taylor Decker,DET,OT,Shoulder,Questionable,Subscribers Only
Hunter Dekkers,FA,QB,Undisclosed,Out,Subscribers Only
Tank Dell,HOU,WR,Knee - ACL + MCL,PUP-R,Subscribers Only
Emari Demercado,ARI,RB,Ankle,Questionable,Subscribers Only
Trevor Denbow,FA,S,Knee,Questionable,Subscribers Only
Marcellas Dial,NE,CB,Knee - ACL,IR,Subscribers Only
Trevon Diggs,DAL,CB,Concussion,IR,Subscribers Only
Brandon Dillon,FA,TE,Undisclosed,Questionable,Subscribers Only
De'Shaan Dixon,FA,DE,Knee - ACL,Questionable,Subscribers Only
J.K. Dobbins,DEN,RB,Foot,IR,Subscribers Only
JoJo Domann,FA,LB,Undisclosed,Questionable,Subscribers Only
Keelan Doss,FA,WR,Undisclosed,Questionable,Subscribers Only
Rasul Douglas,MIA,CB,Foot,Questionable,Subscribers Only
Colton Dowell,FA,WR,Undisclosed,Questionable,Subscribers Only
Tommy Doyle,FA,OT,Knee,Reserve-Ret,Subscribers Only
Dakota Dozier,FA,OG,Knee - ACL,Questionable,Subscribers Only
Josh Drayden,FA,CB,Undisclosed,Questionable,Subscribers Only
Ethan Driskell,KC,OG,Appendix,NFI-R,Subscribers Only
Grant DuBose,FA,WR,Shoulder,Questionable,Subscribers Only
Storm Duck,MIA,CB,Knee,IR,Subscribers Only
Ashton Dulin,IND,WR,Hamstring,IR,Subscribers Only
Isaiah Dunn,FA,CB,Undisclosed,Questionable,Subscribers Only
Yasir Durant,NE,OG,Undisclosed,IR,Subscribers Only
David Durden,FA,WR,Undisclosed,Questionable,Subscribers Only
Silas Dzansi,FA,OT,Knee,Questionable,Subscribers Only
Nate Ebner,FA,S,Ankle,Questionable,Subscribers Only
Trestan Ebner,FA,RB,Concussion,Questionable,Subscribers Only
Tremaine Edmunds,CHI,LB,Groin,IR,Subscribers Only
T.J. Edwards,CHI,LB,Hand,Questionable,Subscribers Only
Liam Eichenberg,MIA,OG,Undisclosed,PUP-R,Subscribers Only
