Offensive  Scoring  Points per Game  Team  Statistics  Screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,,Week  1  Ranking,,,,,,,,,Week 2,,,,,,,,,Week 3,,,,,,,,,Week 4,,,,,,,,,Week 5,,,,,,,,,Week 6,,,,,,,,,Week 7,,,,,,,,,Week 8,,,,,,,,,Week 9,,,,,,,,,Week 10,,,,,,,,,Week 11,,,,,,,,,Week 12,,,,,,,,,Week 13,,,,,,,,,Week 14,,,,,,,,,Week 15,,,,,,,,,Week 16,,,,,,,,,Week 17,,,,,,,,,Week 18,,,,,,,,,Week 19,,,,,,,,,Week 20,,,,,,,,,Week 21,,,,,,,,,Week 22,,,,,,,,,Total,"Avg
Y-p-G",Rank
20,New Orleans,16,22,3,32,5,25,27,22,29,22,24,6,25,9,10,19,24,25,30,19,5,26,13,27,22,26,29,31,19,3,28,6,23,20,27,24,21,21,3,29,7,30,23,30,32,27,18,3,31,7,28,24,30,32,20,16,3,22,6,25,26,28,30,17,15,,,,25,26,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
21,NY Giants,21,14,19,15,24,22,31,12,30,24,18,16,19,17,6,32,3,31,26,9,14,21,17,16,32,2,31,16,9,19,24,22,11,32,1,26,15,7,7,26,9,14,32,2,27,12,13,10,28,14,14,30,6,28,14,11,14,25,23,14,30,21,29,14,10,,,,14,30,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
22,NY Jets,26,6,26,4,17,3,17,19,13,21,9,22,10,18,17,17,14,10,9,17,19,18,21,4,4,18,4,15,16,23,9,15,1,2,12,3,9,12,24,7,14,1,2,8,2,11,7,21,1,8,1,2,2,1,8,7,16,3,8,4,4,1,2,8,7,,,,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
23,Oakland,28,27,23,31,30,30,22,25,24,31,12,9,23,13,23,30,20,32,28,10,7,17,7,15,30,13,32,20,12,10,22,17,27,31,11,31,20,20,11,27,22,19,31,4,25,22,20,15,27,23,19,31,3,26,23,10,11,23,18,21,32,3,26,16,9,,,,21,32,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
24,Philadelphia,9,16,4,30,8,19,26,20,27,15,28,7,32,26,12,25,17,24,22,21,23,30,31,12,23,8,17,17,22,26,30,29,12,25,13,21,22,14,13,22,21,11,26,10,23,15,10,14,19,13,6,19,8,15,9,17,21,15,16,9,19,17,17,15,16,,,,10,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
25,Pittsburgh,7,18,5,6,2,23,24,11,21,13,3,2,18,1,13,27,12,26,4,11,3,22,5,9,19,9,14,8,14,15,14,12,8,13,18,12,10,11,19,13,13,7,20,15,18,9,9,24,8,17,5,26,7,23,10,18,26,9,19,7,27,8,24,10,17,,,,7,27,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
26,San Diego,13,4,1,19,1,24,20,6,10,10,8,4,15,3,7,14,21,14,13,18,4,15,4,29,3,28,10,18,13,2,20,3,28,10,29,15,17,16,2,25,3,23,9,29,15,14,15,1,29,1,26,7,29,14,13,12,1,29,1,27,9,31,18,21,11,,,,27,9,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
27,San Francisco,24,20,29,1,11,1,6,7,4,19,25,17,2,4,32,26,6,16,20,32,30,2,23,25,27,16,25,28,32,32,5,31,29,21,20,23,27,32,31,5,29,27,30,17,31,25,32,29,12,30,25,32,15,31,19,32,31,17,32,22,31,20,31,27,32,,,,22,31,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
28,Seattle,1,5,15,9,15,31,23,10,20,3,14,20,11,19,16,21,15,17,7,13,27,5,18,8,2,17,3,7,18,27,7,19,5,5,7,2,7,18,26,1,15,9,7,7,5,8,17,27,2,15,11,5,13,4,12,19,28,2,14,5,3,6,3,9,18,,,,5,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
29,St Louis,22,2,10,23,13,26,18,24,18,14,21,23,27,31,31,10,30,18,19,28,29,29,32,6,8,25,9,19,25,28,23,32,13,14,26,16,11,29,30,17,32,16,14,21,13,17,31,31,13,32,13,10,21,10,18,31,32,13,31,10,17,14,12,12,31,,,,11,16,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
30,Tampa Bay,29,26,25,20,25,32,11,23,12,32,22,30,14,28,24,6,19,8,29,29,28,20,26,24,9,30,15,30,26,24,17,23,30,3,30,9,32,19,25,11,20,32,6,25,8,28,19,26,9,21,31,4,25,5,31,13,23,4,13,32,5,15,6,28,12,,,,32,5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
31,Tennessee,30,1,22,10,21,8,8,13,8,23,7,24,6,14,30,3,16,4,27,6,15,10,10,13,5,22,6,24,5,14,10,9,22,6,19,6,23,8,22,14,16,18,1,23,3,27,16,22,16,22,20,1,28,3,30,30,25,20,28,16,2,29,5,30,30,,,,15,2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
32,Washington,32,29,21,3,14,9,9,9,5,29,29,28,1,11,19,2,4,1,23,26,21,4,12,18,7,3,2,27,23,18,1,8,10,9,2,4,24,25,18,12,11,12,8,12,6,21,28,23,17,25,15,8,23,8,22,22,17,21,26,17,10,26,16,23,22,,,,16,10,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekly Team Stats From:,,https://www.teamrankings.com/nfl/stats/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
