Player,Team,Pos,Injury,Status
Bisi Johnson,FA,WR,Knee - ACL,Questionable
Blake Lynch,FA,LB,Undisclosed,Questionable
Branden Jackson,FA,DE,Spine,Questionable
Brandon King,FA,LB,Hamstring,Questionable
Brandon Parker,FA,OT,Undisclosed,Questionable
Brent Qvale,FA,OT,Undisclosed,Questionable
Brett Jones,FA,C,Biceps,Questionable
Broughton Hatcher,FA,C,Undisclosed,Questionable
Bruno Labelle,FA,TE,Undisclosed,Questionable
Bryan Bulaga,FA,OT,Back,Questionable
Bryce Love,FA,RB,Knee,Questionable
Bryce Rodgers,FA,DT,Undisclosed,Questionable
Bunmi Rotimi,FA,DE,Foot,Questionable
Byron Jones,FA,CB,Achilles,Questionable
C. J. Avery,FA,LB,Undisclosed,Questionable
C.J. Board,FA,WR,Ribs,Questionable
C.J. Moore,FA,S,Suspension,Reserve-Sus
Caleb Huntley,FA,RB,Achilles,Questionable
Calvin Taylor,FA,DE,Undisclosed,Questionable
Cassius Marsh,FA,LB,Knee,Questionable
Chad Williams,FA,WR,Undisclosed,Questionable
Chandler Jones,FA,DE,Personal,Questionable
Chandon Herring,FA,OG,Undisclosed,Questionable
Charleston Rambo,FA,WR,Undisclosed,Questionable
Chase Allen,FA,TE,Undisclosed,Questionable
Chauncey Rivers,FA,LB,Knee - ACL,Questionable
Chris Jones,FA,P,Abdomen,Questionable
Chris Lacy,FA,WR,Undisclosed,Questionable
Chris Murray,FA,C,Undisclosed,Questionable
Chris Odom,FA,DE,Knee - ACL,Questionable
Chris Streveler,FA,QB,Thumb,Questionable
Chris Thompson,FA,WR,Undisclosed,Questionable
Chris Williamson,FA,CB,Undisclosed,Questionable
Christian Albright,FA,LB,Undisclosed,Questionable
Christian Sam,FA,LB,Undisclosed,Questionable
Christopher Allen,FA,LB,Groin,Questionable
Clark Harris,FA,C,Biceps,Questionable
Codey McElroy,FA,TE,Foot,Questionable
Cody Conway,FA,OT,Knee - ACL,Questionable
Cody Core,FA,WR,Undisclosed,Questionable
Cody Hollister,FA,WR,Neck,Questionable
Cody White,FA,WR,Undisclosed,Questionable
Cole Christiansen,FA,LB,Hamstring,Out
Cole Madison,FA,OG,Knee - ACL,Questionable
Conor McDermott,FA,OT,Undisclosed,Questionable
Corey Davis,FA,WR,Personal,Reserve-Ret
Cre'von LeBlanc,FA,CB,Undisclosed,Questionable
Cullen Gillaspia,FA,LB,Knee,Questionable
Curtis Riley,FA,S,Achilles,Questionable
Daelin Hayes,FA,LB,Undisclosed,Questionable
DaeSean Hamilton,FA,WR,Undisclosed,Questionable
Daewood Davis,FA,WR,Concussion,Questionable
Dakota Dozier,FA,OG,Knee - ACL,Questionable
Damien Wilson,FA,LB,Undisclosed,Reserve-Sus
Damiere Byrd,FA,WR,Hamstring,Questionable
Daniel Brown,FA,TE,Hip,Questionable
Daniel Ross,FA,DT,Undisclosed,Questionable
Dante Pettis,FA,WR,Undisclosed,Questionable
Darius Anderson,FA,RB,Knee,Questionable
Darius Clark,FA,RB,Knee,Questionable
Darius Harris,FA,LB,Undisclosed,Questionable
Darius Stills,FA,DT,Undisclosed,Questionable
Darrius Shepherd,FA,WR,Undisclosed,Questionable
Darron Lee,FA,LB,Undisclosed,Questionable
Darryl Johnson,FA,LB,Undisclosed,Questionable
Dayan Lake,FA,CB,Undisclosed,Questionable
Daylen Baldwin,FA,WR,Hamstring,Questionable
DeAndre Square,FA,LB,Undisclosed,Questionable
DeAndre Thompkins,FA,WR,Undisclosed,Questionable
DeAndrew White,FA,WR,Undisclosed,Questionable
Dee Ford,FA,DE,Back,Questionable
DeMarcus Christmas,FA,DT,Undisclosed,Questionable
Demetrius Taylor,FA,DT,Suspension,Reserve-Sus
Desmond Noel,FA,OG,Undisclosed,Questionable
Devante Bond,FA,LB,Knee,Questionable
Devery Hamilton,FA,OT,Lower Leg,Questionable
Devin Jones,FA,CB,Undisclosed,Questionable
Diego Fagot,FA,LB,Undisclosed,Questionable
Dion Jordan,FA,DE,Knee,Questionable
Diontae Spencer,FA,WR,Undisclosed,Questionable
DJ Turner,FA,WR,Undisclosed,Questionable
Dominique Dafney,FA,TE,Undisclosed,Questionable
Donnie Ernsberger,FA,TE,Undisclosed,Questionable
Donnie Lewis,FA,CB,Undisclosed,Questionable
Dontae Johnson,FA,CB,Knee - ACL,Questionable
